"강력범죄",강제추행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14778,1568,1626,1265,857,911,1281,1672,2730,2868,14611,1448,1542,1243,852,962,1352,1743,2588,2881,15059,1460,1575,1213,890,1011,1374,1804,2596,3136,16054,1771,1737,1282,992,1112,1513,2084,2926,2637,17947,1994,1981,1527,1309,1363,1730,2398,3142,2503,17053,1803,1865,1269,1169,1302,1627,2163,3007,2848,17120,1855,1921,1293,1163,1300,1706,2189,2901,2792,15344,1619,1568,882,1096,1271,1521,1972,2834,2581,13962,992,798,737,1050,1317,1596,2065,3016,2391,15864,1368,1192,939,1062,1299,1640,2111,3230,3023
"강력범죄",기타 강간·강제추행등,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1647,175,291,104,86,95,97,108,163,528,991,106,192,67,60,57,77,70,96,266,558,63,72,23,36,32,45,53,54,180,408,47,53,17,25,25,34,42,55,110,304,30,38,19,25,23,24,23,42,80,356,40,48,22,31,23,45,35,43,69,325,36,47,12,26,20,37,30,40,77,237,24,27,16,20,22,15,23,27,63,238,18,22,8,16,21,32,22,38,61,225,17,19,14,9,21,22,20,32,71
"강력범죄",방화,2003,348,284,132,138,109,205,251,341,195,1900,269,272,107,146,148,212,252,339,155,1743,244,233,113,124,153,168,233,343,132,1723,224,210,101,130,148,222,212,319,157,1673,186,164,114,149,157,190,253,302,158,1502,173,185,106,130,144,157,217,265,125,1372,157,140,85,110,161,154,203,249,113,1691,165,155,108,265,202,189,215,254,138,1362,144,151,105,124,109,173,189,228,139,1228,132,132,67,105,124,128,182,224,134,1046,114,90,78,87,93,102,140,235,107,1233,122,125,92,115,118,123,188,228,122
"절도범죄",소계,281362,33013,20502,19069,31812,20846,34307,44176,38819,38818,290460,23761,23392,20292,31732,32648,36720,45653,39745,36517,288343,23674,24309,19715,31528,33167,36569,44081,37964,37336,266222,21567,21195,17918,29081,30903,34679,40322,35015,35542,245853,19591,19544,16573,26273,29383,32602,35746,30550,35591,203037,15516,15827,13871,22842,26339,28529,29447,25121,25545,183757,13734,14362,12491,21376,24533,26865,26609,22137,21650,176809,12581,13717,12473,20412,24515,26631,25655,19962,20863,186957,13088,14167,13094,21501,27167,28553,27229,20568,21590,179517,11778,13661,12380,21210,26695,28619,25781,19245,20148,166409,9358,10610,12020,21357,26178,27544,24162,17908,17272,182270,10252,11681,13489,23397,28486,30883,26343,18882,18857
"폭력범죄",소계,311945,47209,31683,16231,19449,13748,27269,42818,71031,42507,312579,40387,31567,16947,20643,20690,28258,42072,69711,42304,294188,37827,30327,16033,19732,19817,26033,39720,66407,38292,290079,36177,28642,15977,20533,20057,26049,40093,64504,38047,305947,37411,30241,17459,22567,21655,27823,41994,67238,39559,309394,38007,30550,18553,23425,23216,28513,42400,67261,37469,293086,35100,29547,17986,22848,22326,27586,40083,62939,34671,287611,32382,27537,17522,22865,22763,28077,39587,59022,37856,287913,31290,26880,17572,23112,23919,28939,39618,57944,38639,265768,27024,23076,15870,21627,22934,28256,38183,52198,36600,232661,16431,11894,11968,20254,22191,26850,37986,53549,31538,245286,20999,15710,13416,20391,22326,26869,36725,52649,36201
"폭력범죄",상해,67206,10035,6528,3559,4370,3046,5708,8186,14170,11604,62342,7751,6107,3401,4412,4254,5508,7572,13043,10294,55884,6856,5382,3055,4000,3980,5106,6737,11925,8843,50281,6015,4613,2824,3892,3656,4615,6272,10555,7839,48005,5536,4464,2792,3757,3619,4594,5967,9874,7402,50028,6054,4735,3027,3982,3839,4687,6470,10354,6880,44611,5278,4426,2709,3597,3516,4267,5708,9228,5882,39766,4526,3660,2426,3208,3282,3809,5124,7956,5775,36858,4166,3408,2247,2967,3025,3684,4585,7433,5343,32904,3514,2951,2016,2753,2730,3308,4259,6546,4827,28453,2370,1683,1472,2390,2507,3074,4262,6579,4116,26806,2505,1913,1485,2142,2255,2725,3719,5997,4065
"폭력범죄",폭행,126651,20939,13954,6482,7391,5367,10095,16446,31607,14370,130546,18911,14228,6918,7942,8129,10848,16806,31950,14814,128699,18379,14321,6977,7846,8357,10509,16485,31658,14167,132920,18554,14265,7116,8492,8821,11249,17394,32167,14862,149278,20562,16200,8169,9794,9944,12511,19528,35870,16700,165803,22672,18194,9597,11261,11586,14027,21765,39182,17519,159641,21395,17631,9412,11236,11508,13903,20798,37016,16742,159267,19941,16811,9409,11742,12011,14604,20925,35219,18605,157197,19226,16377,9345,11591,12509,14791,20704,34120,18534,139361,15946,13505,8012,10517,11525,13960,19596,30110,16190,115942,8810,6101,5609,9719,10942,12858,19282,30009,12612,125217,11838,8589,6549,10187,11253,13063,18742,29602,15394
"폭력범죄",체포・감금,832,78,65,56,103,46,83,98,95,208,876,56,69,55,98,89,84,123,114,188,929,72,73,49,105,100,97,111,118,204,945,43,72,70,121,92,98,105,124,220,1028,65,68,45,136,97,126,142,150,199,1318,103,92,103,146,128,169,183,200,194,1439,106,131,121,168,145,150,202,216,200,1207,99,90,86,114,122,154,167,162,213,1243,96,106,76,122,147,146,135,185,230,1209,85,104,70,110,138,140,142,170,250,1165,88,68,80,112,104,140,148,192,233,1145,81,78,56,95,112,111,145,183,284
"폭력범죄",협박,3578,254,129,112,400,223,383,396,396,1285,4480,222,145,199,506,427,473,544,547,1417,4661,244,195,165,543,486,495,487,599,1447,5187,268,212,229,612,511,584,649,700,1422,9187,540,400,467,1045,879,998,1289,1395,2174,15870,1081,797,1047,1810,1710,1973,2279,2711,2462,15499,999,767,1099,1780,1731,1945,2386,2553,2239,17200,1067,847,1102,1890,1769,2094,2747,2851,2833,21022,1316,1036,1339,2288,2251,2687,3304,3437,3364,21214,1235,1022,1340,2225,2348,2799,3324,3335,3586,21058,1025,769,1173,2252,2425,2776,3368,3673,3597,21567,1300,964,1327,2193,2392,2683,3406,3659,3643
"폭력범죄",약취・유인,266,19,8,17,25,30,45,34,27,61,200,9,5,14,29,22,34,22,21,44,188,3,3,20,30,27,18,27,12,48,198,6,5,18,23,28,30,27,12,49,190,6,5,10,22,23,35,21,21,47,201,7,9,9,28,26,33,31,14,44,206,11,11,12,27,30,39,30,5,41,187,2,9,13,14,42,35,28,17,27,250,10,12,17,29,41,48,32,13,48,210,7,6,8,21,43,48,24,11,42,240,8,3,9,20,47,59,37,16,41,276,7,2,14,31,42,59,41,22,58
