"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"살인","검거건수[건]","건","112","138","165","180","121","143","142","148","147","176","170","231","195","187","218","214","197","215","221","246","285",
"살인","검거율[%]","%","99.1","103.8","121.3","105.9","94.5","102.9","102.9","103.5","106.5","102.9","101.8","113.8","115.4","108.7","95.2","98.2","99","98.2","100.5","98.4","96.9",
"살인","검거인원(계)[명]","명","146","165","188","211","146","167","167","159","180","202","213","277","210","215","298","271","229","306","284","305","320",
"살인","검거인원(남)[명]","명","120","144","168","194","130","141","150","134","156","180","186","247","189","185","274","233","198","278","257","281","273",
"살인","검거인원(여)[명]","명","26","21","20","17","16","26","17","25","24","22","27","30","21","30","24","38","31","28","27","24","47",
"살인","성년(계)[명]","명","124","155","165","193","135","151","156","153","168","191","201","266","203","211","292","261","227","299","281","298","310",
"살인","성년(남)[명]","명","101","134","146","176","119","125","139","128","148","172","176","238","182","182","269","226","196","271","254","276","269",
"살인","성년(여)[명]","명","23","21","19","17","16","26","17","25","20","19","25","28","21","29","23","35","31","28","27","22","41",
"살인","미성년(계)[명]","명","22","10","23","18","11","16","11","6","12","11","12","11","7","4","6","10","2","7","3","7","10",
"살인","미성년(남)[명]","명","19","10","22","18","11","16","11","6","8","8","10","9","7","3","5","7","2","7","3","5","4",
"살인","미성년(여)[명]","명","3","","1","","","","","","4","3","2","2","","1","1","3","","","","2","6",
"살인","법인체[개]","개","","","","","","","","","","0","","","","","","","","","","","",
"살인","발생건수[건]","건","","","","","122","129","129","135","127","157","155","187","154","163","206","204","189","200","208","236","263",
"살인","검거건수[건]","건","","","","","115","132","133","141","134","162","159","214","181","178","196","201","187","200","210","233","256",
"살인","검거율[%]","%","","","","","94.3","102.3","103.1","104.4","105.5","103.2","102.6","114.4","117.5","109.2","95.1","98.5","98.9","100","101","98.7","97.3",
"살인","검거인원(계)[명]","명","","","","","138","155","157","153","161","187","202","258","196","204","273","255","219","280","273","290","284",
"살인","검거인원(남)[명]","명","","","","","123","131","143","130","141","171","178","234","177","179","253","221","192","260","248","269","252",
"살인","검거인원(여)[명]","명","","","","","15","24","14","23","20","16","24","24","19","25","20","34","27","20","25","21","32",
"살인","성년(계)[명]","명","","","","","128","142","148","147","153","180","192","251","189","200","267","245","218","276","270","287","277",
"살인","성년(남)[명]","명","","","","","113","118","134","124","134","164","169","227","170","176","248","214","191","256","245","267","249",
"살인","성년(여)[명]","명","","","","","15","24","14","23","19","16","23","24","19","24","19","31","27","20","25","20","28",
"살인","미성년(계)[명]","명","","","","","10","13","9","6","8","7","10","7","7","4","6","10","1","4","3","3","7",
"살인","미성년(남)[명]","명","","","","","10","13","9","6","7","7","9","7","7","3","5","7","1","4","3","2","3",
"살인","미성년(여)[명]","명","","","","","","","","","1","","1","","","1","1","3","","","","1","4",
"영아살해","발생건수[건]","건","","","","","","1","2","2","2","4","3","3","1","2","2","1","2","3","2","1","5",
"영아살해","검거건수[건]","건","","","","","","1","2","2","2","5","2","4","","2","1","1","2","1","2","1","4",
"영아살해","검거율[%]","%","","","","","-","100","100","100","100","125","66.7","133.3","0","100","50","100","100","33.3","100","100","80",
"영아살해","검거인원(계)[명]","명","","","","","","1","2","2","3","4","2","4","","2","2","2","2","3","1","2","6",
"영아살해","검거인원(남)[명]","명","","","","","","","","","","","","","","","1","1","","","","1","",
"영아살해","검거인원(여)[명]","명","","","","","","1","2","2","3","4","2","4","","2","1","1","2","3","1","1","6",
"영아살해","성년(계)[명]","명","","","","","","1","2","2","","1","1","2","","2","2","2","2","3","1","","5",
"영아살해","성년(남)[명]","명","","","","","","","","","","","","","","","1","1","","","","","",
"영아살해","성년(여)[명]","명","","","","","","1","2","2","","1","1","2","","2","1","1","2","3","1","","5",
"영아살해","미성년(계)[명]","명","","","","","","","","","3","3","1","2","","","","","","","","2","1",
"영아살해","미성년(남)[명]","명","","","","","","","","","","","","","","","","","","","","1","",
