"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"특가법(영리약취·유인)","성년(남)[명]","명","","","","","6","7","2","1","1","","3","5","2","12","60","9","3","12","5","15","14",
"특가법(영리약취·유인)","성년(여)[명]","명","","","","","4","1","1","1","","1","","","4","2","17","","","4","3","6","4",
"특가법(영리약취·유인)","미성년(계)[명]","명","","","","","1","2","","","1","","","","","","5","","","1","","9","",
"특가법(영리약취·유인)","미성년(남)[명]","명","","","","","1","1","","","1","","","","","","2","","","1","","7","",
"특가법(영리약취·유인)","미성년(여)[명]","명","","","","","","1","","","","","","","","","3","","","","","2","",
"특가법(영리약취)","발생건수[건]","건","","","","","1","","1","3","","1","","1","1","3","","","","","","","",
"특가법(영리약취)","검거건수[건]","건","","","","","1","","1","4","","","","1","1","4","","","","","","","",
"특가법(영리약취)","검거율[%]","%","","","","","100","","100","133.3","-","0","-","100","100","133.3","-","-","-","-","-","-","-",
"특가법(영리약취)","검거인원(계)[명]","명","","","","","1","2","2","5","7","","","4","3","9","","","","","","","",
"특가법(영리약취)","검거인원(남)[명]","명","","","","","","","1","3","4","","","3","2","7","","","","","","","",
"특가법(영리약취)","검거인원(여)[명]","명","","","","","1","2","1","2","3","","","1","1","2","","","","","","","",
"특가법(영리약취)","성년(계)[명]","명","","","","","1","2","2","5","7","","","4","3","9","","","","","","","",
"특가법(영리약취)","성년(남)[명]","명","","","","","","","1","3","4","","","3","2","7","","","","","","","",
"특가법(영리약취)","성년(여)[명]","명","","","","","1","2","1","2","3","","","1","1","2","","","","","","","",
"특가법(간음약취)","발생건수[건]","건","","","","","1","","1","","","","","","","","","","","","","","",
"특가법(간음약취)","검거건수[건]","건","","","","","","","4","","","","","","","1","","","","","","","",
"특가법(간음약취)","검거율[%]","%","","","","","0","","400","-","-","-","-","-","-","100","-","-","-","-","-","-","-",
"특가법(간음약취)","검거인원(계)[명]","명","","","","","1","","4","","","","","","","1","","","","","","","",
"특가법(간음약취)","검거인원(남)[명]","명","","","","","1","","3","","","","","","","1","","","","","","","",
"특가법(간음약취)","검거인원(여)[명]","명","","","","","","","1","","","","","","","","","","","","","","",
"특가법(간음약취)","성년(계)[명]","명","","","","","1","","1","","","","","","","1","","","","","","","",
"특가법(간음약취)","성년(남)[명]","명","","","","","1","","","","","","","","","1","","","","","","","",
"특가법(간음약취)","성년(여)[명]","명","","","","","","","1","","","","","","","","","","","","","","",
"특가법(간음약취)","미성년(계)[명]","명","","","","","","","3","","","","","","","","","","","","","","",
"특가법(간음약취)","미성년(남)[명]","명","","","","","","","3","","","","","","","","","","","","","","",
"특가법(추행약취)","검거율[%]","%","","","","","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"특가법(추행약취)","검거인원(계)[명]","명","","","","","1","","","","","","","","","","","","","","","","",
"특가법(추행약취)","검거인원(여)[명]","명","","","","","1","","","","","","","","","","","","","","","","",
"특가법(추행약취)","성년(계)[명]","명","","","","","1","","","","","","","","","","","","","","","","",
"특가법(추행약취)","성년(여)[명]","명","","","","","1","","","","","","","","","","","","","","","","",
"특가법(영리유인)","발생건수[건]","건","","","","","8","8","2","4","1","4","1","3","1","2","","","","","","","",
"특가법(영리유인)","검거건수[건]","건","","","","","11","5","2","5","2","5","3","5","1","4","","","","","","","",
"특가법(영리유인)","검거율[%]","%","","","","","137.5","62.5","100","125","200","125","300","166.7","100","200","-","-","-","-","-","-","-",
"특가법(영리유인)","검거인원(계)[명]","명","","","","","20","18","6","16","5","15","4","4","6","4","","","","","","","",
"특가법(영리유인)","검거인원(남)[명]","명","","","","","14","11","1","11","5","14","3","4","4","4","","","","","","","",
"특가법(영리유인)","검거인원(여)[명]","명","","","","","6","7","5","5","","1","1","","2","","","","","","","","",
"특가법(영리유인)","성년(계)[명]","명","","","","","19","16","6","16","5","10","4","4","6","4","","","","","","","",
"특가법(영리유인)","성년(남)[명]","명","","","","","13","9","1","11","5","9","3","4","4","4","","","","","","","",
"특가법(영리유인)","성년(여)[명]","명","","","","","6","7","5","5","","1","1","","2","","","","","","","","",
"특가법(영리유인)","미성년(계)[명]","명","","","","","1","2","","","","5","","","","","","","","","","","",
"특가법(영리유인)","미성년(남)[명]","명","","","","","1","2","","","","5","","","","","","","","","","","",
"특가법(간음유인)","발생건수[건]","건","","","","","1","2","","","","","1","6","","1","","","","","","","",
"특가법(간음유인)","검거건수[건]","건","","","","","1","2","","","","","1","6","","2","","","","","","","",
"특가법(간음유인)","검거율[%]","%","","","","","100","100","-","-","-","-","100","100","-","200","-","-","-","-","-","-","-",
"특가법(간음유인)","검거인원(계)[명]","명","","","","","1","2","1","","","","1","1","","2","","","","","","","",
"특가법(간음유인)","검거인원(남)[명]","명","","","","","1","2","1","","","","1","1","","2","","","","","","","",
"특가법(간음유인)","성년(계)[명]","명","","","","","1","2","1","","","","1","1","","2","","","","","","","",
"특가법(간음유인)","성년(남)[명]","명","","","","","1","2","1","","","","1","1","","2","","","","","","","",
"특가법(추행유인)","검거율[%]","%","","","","","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"특가법(추행유인)","검거인원(계)[명]","명","","","","","","","2","","","","","","","","","","","","","","",
"특가법(추행유인)","검거인원(남)[명]","명","","","","","","","2","","","","","","","","","","","","","","",
"특가법(추행유인)","성년(계)[명]","명","","","","","","","2","","","","","","","","","","","","","","",
"특가법(추행유인)","성년(남)[명]","명","","","","","","","2","","","","","","","","","","","","","","",
"부녀매매","발생건수[건]","건","","","","","11","5","4","9","11","16","26","24","18","24","13","","1","","1","","2",
"부녀매매","검거건수[건]","건","","","","","12","5","5","10","14","17","32","46","21","36","30","2","","","1","","",
"부녀매매","검거율[%]","%","","","","","109.1","100","125","111.1","127.3","106.3","123.1","191.7","116.7","150","230.8","200","0","-","100","-","0",
"부녀매매","검거인원(계)[명]","명","","","","","35","13","13","28","19","51","109","94","52","95","40","6","","","5","","2",
"부녀매매","검거인원(남)[명]","명","","","","","21","6","10","21","17","39","77","67","39","51","31","3","","","5","","1",
"부녀매매","검거인원(여)[명]","명","","","","","14","7","3","7","2","12","32","27","13","44","9","3","","","","","1",
"부녀매매","성년(계)[명]","명","","","","","35","13","12","26","17","44","108","93","51","93","40","6","","","5","","2",
"부녀매매","성년(남)[명]","명","","","","","21","6","9","19","15","33","76","67","38","50","31","3","","","5","","1",
"부녀매매","성년(여)[명]","명","","","","","14","7","3","7","2","11","32","26","13","43","9","3","","","","","1",
"부녀매매","미성년(계)[명]","명","","","","","","","1","2","2","7","1","1","1","2","","","","","","","",
"부녀매매","미성년(남)[명]","명","","","","","","","1","2","2","6","1","","1","1","","","","","","","",
"부녀매매","미성년(여)[명]","명","","","","","","","","","","1","","1","","1","","","","","","","",
"부녀매매(상습)","발생건수[건]","건","","","","","1","","","","","","","","","","","","","","","","",
"부녀매매(상습)","검거건수[건]","건","","","","","1","","","","","","","","","","","1","","","","","",
"부녀매매(상습)","검거율[%]","%","","","","","100","","-","-","-","-","-","-","-","-","-","100","-","-","-","-","-",
"부녀매매(상습)","검거인원(계)[명]","명","","","","","2","","","","","","","","","","","12","","","","","",
"부녀매매(상습)","검거인원(남)[명]","명","","","","","2","","","","","","","","","","","8","","","","","",
"부녀매매(상습)","검거인원(여)[명]","명","","","","","","","","","","","","","","","","4","","","","","",
"부녀매매(상습)","성년(계)[명]","명","","","","","2","","","","","","","","","","","12","","","","","",
"부녀매매(상습)","성년(남)[명]","명","","","","","2","","","","","","","","","","","8","","","","","",
"부녀매매(상습)","성년(여)[명]","명","","","","","","","","","","","","","","","","4","","","","","",
"국외이송약취유인","발생건수[건]","건","","","","","1","","2","1","2","5","1","3","2","1","","3","","1","1","1","",
"국외이송약취유인","검거건수[건]","건","","","","","1","","2","1","2","4","1","4","3","1","","1","","1","1","","",
"국외이송약취유인","검거율[%]","%","","","","","100","","100","100","100","80","100","133.3","150","100","-","33.3","-","100","100","0","-",
"국외이송약취유인","검거인원(계)[명]","명","","","","","2","","8","1","3","8","1","6","4","","5","11","","1","3","","",
"국외이송약취유인","검거인원(남)[명]","명","","","","","","","6","","1","4","1","3","1","","4","7","","1","","","",
"국외이송약취유인","검거인원(여)[명]","명","","","","","2","","2","1","2","4","","3","3","","1","4","","","3","","",
"국외이송약취유인","성년(계)[명]","명","","","","","2","","8","1","3","8","1","6","4","","5","11","","1","3","","",
"국외이송약취유인","성년(남)[명]","명","","","","","","","6","","1","4","1","3","1","","4","7","","1","","","",
"국외이송약취유인","성년(여)[명]","명","","","","","2","","2","1","2","4","","3","3","","1","4","","","3","","",
"특가법(국외이송약취)","발생건수[건]","건","","","","","","1","1","","","","","","","","","","","","","","",
"특가법(국외이송약취)","검거건수[건]","건","","","","","","1","1","","","","","","1","","","","","","","","",
"특가법(국외이송약취)","검거율[%]","%","","","","","-","100","100","-","-","-","-","-","100","-","-","-","-","-","-","-","-",
"특가법(국외이송약취)","검거인원(계)[명]","명","","","","","","2","2","","","","","","1","","","","","","","","",
"특가법(국외이송약취)","검거인원(남)[명]","명","","","","","","","1","","","","","","","","","","","","","","",
"특가법(국외이송약취)","검거인원(여)[명]","명","","","","","","2","1","","","","","","1","","","","","","","","",
"특가법(국외이송약취)","성년(계)[명]","명","","","","","","2","2","","","","","","1","","","","","","","","",
"특가법(국외이송약취)","성년(남)[명]","명","","","","","","","1","","","","","","","","","","","","","","",
"특가법(국외이송약취)","성년(여)[명]","명","","","","","","2","1","","","","","","1","","","","","","","","",
"특가법(국외이송유인)","발생건수[건]","건","","","","","24","1","1","","1","","1","1","","","","","","","","","",
"특가법(국외이송유인)","검거건수[건]","건","","","","","24","1","1","","1","","1","","","","","","","","","","",
"특가법(국외이송유인)","검거율[%]","%","","","","","100","100","100","-","100","-","100","0","-","-","-","-","-","-","-","-","-",
"특가법(국외이송유인)","검거인원(계)[명]","명","","","","","14","4","4","","1","","3","","","","","","","","","","",
"특가법(국외이송유인)","검거인원(남)[명]","명","","","","","9","3","2","","1","","2","","","","","","","","","","",
"특가법(국외이송유인)","검거인원(여)[명]","명","","","","","5","1","2","","","","1","","","","","","","","","","",
"특가법(국외이송유인)","성년(계)[명]","명","","","","","14","4","4","","1","","3","","","","","","","","","","",
"특가법(국외이송유인)","성년(남)[명]","명","","","","","9","3","2","","1","","2","","","","","","","","","","",
"특가법(국외이송유인)","성년(여)[명]","명","","","","","5","1","2","","","","1","","","","","","","","","","",
"결혼약취유인","발생건수[건]","건","","","","","1","1","1","1","","1","","1","","","","1","","","","","",
"결혼약취유인","검거건수[건]","건","","","","","1","1","1","1","","1","","1","","","","1","","","","","",
"결혼약취유인","검거율[%]","%","","","","","100","100","100","100","-","100","-","100","-","-","-","100","-","-","-","-","-",
"결혼약취유인","검거인원(계)[명]","명","","","","","1","1","","","","1","","1","","","","1","","","","","",
"결혼약취유인","검거인원(남)[명]","명","","","","","1","1","","","","1","","1","","","","1","","","","","",
"결혼약취유인","성년(계)[명]","명","","","","","1","1","","","","1","","1","","","","1","","","","","",
"결혼약취유인","성년(남)[명]","명","","","","","1","1","","","","1","","1","","","","1","","","","","",
"피약취자·피유인자·피매매자등","발생건수[건]","건","","","","","","1","","","","","","1","","","1","","","","1","","",
"피약취자·피유인자·피매매자등","검거건수[건]","건","","","","","","1","","","","","1","1","","1","1","","","","2","","",
"피약취자·피유인자·피매매자등","검거율[%]","%","","","","","-","100","-","-","-","-","100","100","-","100","100","-","-","-","200","-","-",
"피약취자·피유인자·피매매자등","검거인원(계)[명]","명","","","","","","1","","","","1","1","7","1","1","1","","","","5","","",
"피약취자·피유인자·피매매자등","검거인원(남)[명]","명","","","","","","","","","","","1","4","","1","","","","","4","","",
"피약취자·피유인자·피매매자등","검거인원(여)[명]","명","","","","","","1","","","","1","","3","1","","1","","","","1","","",
"피약취자·피유인자·피매매자등","성년(계)[명]","명","","","","","","1","","","","1","1","7","1","1","1","","","","5","","",
"피약취자·피유인자·피매매자등","성년(남)[명]","명","","","","","","","","","","","1","4","","1","","","","","4","","",
"피약취자·피유인자·피매매자등","성년(여)[명]","명","","","","","","1","","","","1","","3","1","","1","","","","1","","",
"미성년자약취유인죄","발생건수[건]","건","55","40","24","25","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","검거건수[건]","건","46","37","22","30","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","검거율[%]","%","83.6","92.5","91.7","120","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","검거인원(계)[명]","명","57","55","32","41","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","검거인원(남)[명]","명","38","49","13","35","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","검거인원(여)[명]","명","19","6","19","6","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","성년(계)[명]","명","39","47","30","30","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","성년(남)[명]","명","24","41","11","25","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","성년(여)[명]","명","15","6","19","5","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","미성년(계)[명]","명","18","8","2","11","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","미성년(남)[명]","명","14","8","2","10","","","","","","","","","","","","","","","","","",
"미성년자약취유인죄","미성년(여)[명]","명","4","","","1","","","","","","","","","","","","","","","","","",
"기타약취유인죄","발생건수[건]","건","56","41","25","21","","","","","","","","","","","","","","","","","",
"기타약취유인죄","검거건수[건]","건","72","52","37","31","","","","","","","","","","","","","","","","","",
"기타약취유인죄","검거율[%]","%","128.6","126.8","148","147.6","","","","","","","","","","","","","","","","","",
"기타약취유인죄","검거인원(계)[명]","명","119","87","41","42","","","","","","","","","","","","","","","","","",
"기타약취유인죄","검거인원(남)[명]","명","81","71","27","30","","","","","","","","","","","","","","","","","",
"기타약취유인죄","검거인원(여)[명]","명","38","16","14","12","","","","","","","","","","","","","","","","","",
"기타약취유인죄","성년(계)[명]","명","109","73","40","39","","","","","","","","","","","","","","","","","",
"기타약취유인죄","성년(남)[명]","명","73","59","26","29","","","","","","","","","","","","","","","","","",
"기타약취유인죄","성년(여)[명]","명","36","14","14","10","","","","","","","","","","","","","","","","","",
"기타약취유인죄","미성년(계)[명]","명","10","14","1","3","","","","","","","","","","","","","","","","","",
"기타약취유인죄","미성년(남)[명]","명","8","12","1","1","","","","","","","","","","","","","","","","","",
"기타약취유인죄","미성년(여)[명]","명","2","2","","2","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에관한법류위반","발생건수[건]","건","","","","","","","","","","","","","65424","","","","","","","","",
"폭력행위등처벌에관한법류위반","검거건수[건]","건","","","","","","","","","","","","","60590","","","","","","","","",
"폭력행위등처벌에관한법류위반","검거율[%]","%","","","","","","","","","","","","","92.6","","","","","","","","",
"폭력행위등처벌에관한법류위반","검거인원(계)[명]","명","","","","","","","","","","","","","111726","","","","","","","","",
"폭력행위등처벌에관한법류위반","검거인원(남)[명]","명","","","","","","","","","","","","","96415","","","","","","","","",
"폭력행위등처벌에관한법류위반","검거인원(여)[명]","명","","","","","","","","","","","","","15311","","","","","","","","",
"폭력행위등처벌에관한법류위반","성년(계)[명]","명","","","","","","","","","","","","","103244","","","","","","","","",
"폭력행위등처벌에관한법류위반","성년(남)[명]","명","","","","","","","","","","","","","89443","","","","","","","","",
"폭력행위등처벌에관한법류위반","성년(여)[명]","명","","","","","","","","","","","","","13801","","","","","","","","",
"폭력행위등처벌에관한법류위반","미성년(계)[명]","명","","","","","","","","","","","","","8482","","","","","","","","",
"폭력행위등처벌에관한법류위반","미성년(남)[명]","명","","","","","","","","","","","","","6972","","","","","","","","",
"폭력행위등처벌에관한법류위반","미성년(여)[명]","명","","","","","","","","","","","","","1510","","","","","","","","",
"폭력행위등처벌에관한법류위반","법인체[개]","개","","","","","","","","","","","","","3","","","","","","","","",
"폭력행위등처벌에 관한 법률 위반","발생건수[건]","건","","","","","51189","48773","48713","49645","56744","70843","79816","80662","","65122","63466","58923","23686","12589","12344","11573","9836",
"폭력행위등처벌에 관한 법률 위반","검거건수[건]","건","","","","","50558","48066","48347","49300","56242","70504","75453","74168","","60452","60131","56435","22653","12156","11924","10977","8956",
"폭력행위등처벌에 관한 법률 위반","검거율[%]","%","","","","","98.8","98.6","99.2","99.3","99.1","99.5","94.5","91.9","","92.8","94.7","95.8","95.6","96.6","96.6","94.9","91.1",
"폭력행위등처벌에 관한 법률 위반","검거인원(계)[명]","명","","","","","94769","92610","92207","95762","104901","128964","137502","135453","","108702","109277","102469","52879","38511","36896","33794","26793",
"폭력행위등처벌에 관한 법률 위반","검거인원(남)[명]","명","","","","","85669","82955","81931","85287","92875","112779","120765","117750","","93404","93690","87809","43871","31147","30308","27877","22117",
"폭력행위등처벌에 관한 법률 위반","검거인원(여)[명]","명","","","","","9100","9655","10276","10475","12026","16185","16737","17703","","15298","15587","14660","9008","7364","6588","5917","4676",
"폭력행위등처벌에 관한 법률 위반","성년(계)[명]","명","","","","","83649","80014","80116","81963","92418","116708","124915","123371","","101492","102691","96416","47711","33109","32343","29420","23747",
"폭력행위등처벌에 관한 법률 위반","성년(남)[명]","명","","","","","75269","71567","71137","73041","81576","101968","109948","107487","","87533","88510","83212","40303","27548","27133","24745","19968",
"폭력행위등처벌에 관한 법률 위반","성년(여)[명]","명","","","","","8380","8447","8979","8922","10842","14740","14967","15884","","13959","14181","13204","7408","5561","5210","4675","3779",
"폭력행위등처벌에 관한 법률 위반","미성년(계)[명]","명","","","","","11120","12596","12091","13799","12483","12256","12587","12082","","7210","6586","6053","5168","5402","4553","4374","3046",
"폭력행위등처벌에 관한 법률 위반","미성년(남)[명]","명","","","","","10400","11388","10794","12246","11299","10811","10817","10263","","5871","5180","4597","3568","3599","3175","3132","2149",
"폭력행위등처벌에 관한 법률 위반","미성년(여)[명]","명","","","","","720","1208","1297","1553","1184","1445","1770","1819","","1339","1406","1456","1600","1803","1378","1242","897",
"폭력행위등처벌에 관한 법률 위반","법인체[개]","개","","","","","1","","3","","","9","1","","","1","","4","2","3","2","1","",
"폭력행위등처벌에 관한 죄","발생건수[건]","건","44769","45863","45509","51018","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","검거건수[건]","건","43092","44312","45420","55068","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","검거율[%]","%","","96.6","99.8","107.9","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","검거인원(계)[명]","명","76445","82478","82237","96025","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","검거인원(남)[명]","명","70221","76095","75694","88239","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","검거인원(여)[명]","명","6224","6383","6543","7786","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","성년(계)[명]","명","65824","72303","72792","85603","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","성년(남)[명]","명","60052","66474","66966","78598","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","성년(여)[명]","명","5772","5829","5826","7005","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","미성년(계)[명]","명","10621","10175","9445","10422","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","미성년(남)[명]","명","10169","9621","8728","9641","","","","","","","","","","","","","","","","","",
"폭력행위등처벌에 관한 죄","미성년(여)[명]","명","452","554","717","781","","","","","","","","","","","","","","","","","",
"공갈","발생건수[건]","건","","","","","190","231","248","217","219","266","231","","","","","","","","","","",
"공갈","검거건수[건]","건","","","","","182","234","236","207","206","253","205","","","","","","","","","","",
"공갈","검거율[%]","%","","","","","95.8","101.3","95.2","95.4","94.1","95.1","88.7","","","","","","","","","","",
"공갈","검거인원(계)[명]","명","","","","","206","272","267","234","249","319","266","","","","","","","","","","",
"공갈","검거인원(남)[명]","명","","","","","177","236","228","192","219","269","230","","","","","","","","","","",
"공갈","검거인원(여)[명]","명","","","","","29","36","39","42","30","50","36","","","","","","","","","","",
"공갈","성년(계)[명]","명","","","","","142","177","161","140","174","207","191","","","","","","","","","","",
"공갈","성년(남)[명]","명","","","","","113","142","131","106","149","166","163","","","","","","","","","","",
"공갈","성년(여)[명]","명","","","","","29","35","30","34","25","41","28","","","","","","","","","","",
"공갈","미성년(계)[명]","명","","","","","64","95","106","94","75","112","75","","","","","","","","","","",
"공갈","미성년(남)[명]","명","","","","","64","94","97","86","70","103","67","","","","","","","","","","",
"공갈","미성년(여)[명]","명","","","","","","1","9","8","5","9","8","","","","","","","","","","",
"공갈","법인체[개]","개","","","","","","","","","2","2","","","","","","","","","","","",
"공갈","발생건수[건]","건","167","153","180","198","","","","","","","","245","226","240","324","257","456","516","502","705","813",
"공갈","검거건수[건]","건","163","150","181","202","","","","","","","","227","201","214","286","224","418","466","454","618","616",
"공갈","검거율[%]","%","97.6","98","100.6","102","","","","","","","","92.7","88.9","89.2","88.3","87.2","91.7","90.3","90.4","87.7","75.8",
"공갈","검거인원(계)[명]","명","184","192","211","232","","","","","","","","275","231","253","414","350","574","630","660","830","836",
"공갈","검거인원(남)[명]","명","161","160","182","198","","","","","","","","236","196","205","327","277","467","502","546","708","717",
"공갈","검거인원(여)[명]","명","23","32","29","34","","","","","","","","39","35","48","87","73","107","128","114","122","119",
"공갈","성년(계)[명]","명","135","155","166","180","","","","","","","","220","194","215","358","292","464","431","424","511","511",
"공갈","성년(남)[명]","명","114","127","140","152","","","","","","","","185","162","174","285","235","390","350","366","436","446",
"공갈","성년(여)[명]","명","21","28","26","28","","","","","","","","35","32","41","73","57","74","81","58","75","65",
"공갈","미성년(계)[명]","명","49","37","45","52","","","","","","","","55","37","38","56","58","110","199","236","319","325",
"공갈","미성년(남)[명]","명","47","33","42","46","","","","","","","","51","34","31","42","42","77","152","180","272","271",
"공갈","미성년(여)[명]","명","2","4","3","6","","","","","","","","4","3","7","14","16","33","47","56","47","54",
"공갈","법인체[개]","개","","","","","","","","","","","","-","-","-","-","","","","","","",
"공갈(상습)","발생건수[건]","건","","","","","","","1","","1","1","","","","63","1","2","3","3","113","5","11",
"공갈(상습)","검거건수[건]","건","","","","","","","1","","1","2","","","","96","3","2","3","3","9","4","9",
"공갈(상습)","검거율[%]","%","","","","","-","","100","-","100","200","-","-","-","152.4","300","100","100","100","8","80","81.8",
"공갈(상습)","검거인원(계)[명]","명","","","","","","","1","","","3","","","","101","5","","3","3","9","4","9",
"공갈(상습)","검거인원(남)[명]","명","","","","","","","1","","","3","","","","87","4","5","1","3","8","4","9",
"공갈(상습)","검거인원(여)[명]","명","","","","","","","","","","","","","","14","1","","2","","1","","",
"공갈(상습)","성년(계)[명]","명","","","","","","","1","","","2","","","","84","5","5","3","3","9","2","4",
"공갈(상습)","성년(남)[명]","명","","","","","","","1","","","2","","","","72","4","5","1","3","8","2","4",
"공갈(상습)","성년(여)[명]","명","","","","","","","","","","","","","","12","1","","2","","1","","",
"공갈(상습)","미성년(계)[명]","명","","","","","","","","","","1","","","","17","","","","","","2","5",
"공갈(상습)","미성년(남)[명]","명","","","","","","","","","","1","","","","15","","","","","","2","5",
"공갈(상습)","미성년(여)[명]","명","","","","","","","","","","","","","","2","","","","","","","",
"특경법(공갈)","발생건수[건]","건","","","","","1","1","3","","1","","1","1","1","1","4","5","3","2","6","8","7",
"특경법(공갈)","검거건수[건]","건","","","","","1","1","3","1","2","","1","","2","3","4","6","1","3","7","7","7",
"특경법(공갈)","검거율[%]","%","","","","","100","100","100","-","200","-","100","0","200","300","100","120","33.3","150","116.7","87.5","100",
"특경법(공갈)","검거인원(계)[명]","명","","","","","2","","2","2","8","","4","","2","4","6","","2","9","28","20","16",
"특경법(공갈)","검거인원(남)[명]","명","","","","","2","","2","2","8","","4","","2","4","6","8","2","8","22","17","13",
"특경법(공갈)","검거인원(여)[명]","명","","","","","","","","","","","","","","","","","","1","6","3","3",
"특경법(공갈)","성년(계)[명]","명","","","","","2","","2","2","8","","4","","2","4","6","8","2","9","28","19","16",
"특경법(공갈)","성년(남)[명]","명","","","","","2","","2","2","8","","4","","2","4","6","8","2","8","22","16","13",
"특경법(공갈)","성년(여)[명]","명","","","","","","","","","","","","","","","","","","1","6","3","3",
"특경법(공갈)","미성년(계)[명]","명","","","","","","","","","","","","","","","","","","","","1","",
"특경법(공갈)","미성년(남)[명]","명","","","","","","","","","","","","","","","","","","","","1","",
"손괴의죄","발생건수[건]","건","815","862","804","847","962","940","902","855","1032","1308","3011","4460","3652","3038","2588","2087","6050","7741","7819","7554","9699",
"손괴의죄","검거건수[건]","건","684","731","682","770","899","869","857","822","965","1243","1335","1321","1393","1443","1559","1454","5189","6626","6545","6211","5518",
"손괴의죄","검거율[%]","%","101.3","84.8","84.8","90.9","93.5","92.4","95","96.1","93.5","95","44.3","29.6","38.1","47.5","60.2","69.7","85.8","85.6","83.7","82.2","56.9",
"손괴의죄","검거인원(계)[명]","명","786","881","777","891","1024","993","944","922","1032","1400","1479","1430","1437","1601","1790","1738","5899","7431","7296","6889","6255",
"손괴의죄","검거인원(남)[명]","명","690","789","711","775","903","846","822","802","917","1232","1282","1256","1247","1401","1571","1526","5319","6761","6619","6235","5648",
"손괴의죄","검거인원(여)[명]","명","96","92","66","116","121","147","122","120","115","168","197","174","190","200","219","212","580","670","677","654","607",
"손괴의죄","성년(계)[명]","명","767","852","756","878","1006","974","922","901","988","1347","1425","1379","1402","1562","1757","1709","5809","7325","7195","6804","6168",
"손괴의죄","성년(남)[명]","명","674","760","690","763","885","827","801","781","880","1179","1233","1208","1213","1362","1540","1500","5238","6663","6533","6159","5565",
"손괴의죄","성년(여)[명]","명","93","92","66","115","121","147","121","120","108","168","192","171","189","200","217","209","571","662","662","645","603",
"손괴의죄","미성년(계)[명]","명","19","29","21","13","18","19","22","21","44","53","54","51","35","39","33","29","90","106","101","85","87",
"손괴의죄","미성년(남)[명]","명","16","29","21","12","18","19","21","21","37","53","49","48","34","39","31","26","81","98","86","76","83",
"손괴의죄","미성년(여)[명]","명","3","","","1","","","1","","7","","5","3","1","","2","3","9","8","15","9","4",
"손괴의죄","법인체[개]","개","","","","","1","1","","2","","","1","3","1","1","","","1","","2","5","4",
"지능범","발생건수[건]","건","20494","23153","33755","43937","52165","65694","64932","56599","61658","57787","46219","46593","46751","57380","72628","65607","68743","59621","62143","72256","66367",
"지능범","검거건수[건]","건","18631","22259","29544","37917","36473","48806","55645","49032","51170","52637","40176","38979","38905","43681","49883","47760","48937","43954","44393","51890","45086",
"지능범","검거율[%]","%","90.9","96.1","87.5","86.3","69.9","74.3","85.7","86.6","83","91.1","86.9","83.7","83.2","76.1","68.7","72.8","71.2","73.7","71.4","71.8","67.9",
"지능범","검거인원(계)[명]","명","21139","25565","33559","43835","43295","57064","64887","58382","61712","68449","53757","51750","50480","56465","99216","95822","99273","92199","93314","110266","97235",
"지능범","검거인원(남)[명]","명","17812","21742","28506","36603","34558","43858","48489","43919","46804","51881","42035","40777","39738","43156","75587","74367","77351","72706","73913","87841","76862",
"지능범","검거인원(여)[명]","명","3327","3823","5053","7232","8737","13206","16398","14463","14908","16568","11722","10973","10742","13309","23629","21455","21922","19493","19401","22425","20373",
"지능범","성년(계)[명]","명","20851","25148","33130","43296","42766","56524","64427","57917","61222","67854","53046","50840","49393","55497","98023","94701","98278","91062","92425","108765","96033",
"지능범","성년(남)[명]","명","17555","21387","28155","36181","34126","43442","48157","43588","46470","51443","41548","40113","38929","42479","74637","73440","76593","71858","73246","86603","75941",
