"범죄별","발생지별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"방화","중구","범죄 발생지","","18","11","13","14","12","12","2","15","10","13","10","13","13","8",
"방화","용산","범죄 발생지","","14","6","9","9","8","7","6","12","9","5","7","10","16","6",
"방화","성동","범죄 발생지","","8","8","7","12","9","5","5","7","2","1","10","8","4","7",
"방화","광진","범죄 발생지","","13","11","8","15","10","14","6","6","7","7","6","6","5","7",
"방화","동대문","범죄 발생지","","17","11","18","12","21","19","11","12","7","10","11","5","11","8",
"방화","중랑","범죄 발생지","","12","17","15","11","14","15","14","8","15","9","8","11","4","10",
"방화","성북","범죄 발생지","","7","9","7","9","12","5","8","10","10","5","9","5","7","5",
"방화","강북","범죄 발생지","","13","15","12","16","10","16","7","10","4","9","6","6","4","4",
"방화","도봉","범죄 발생지","","14","12","13","3","11","12","9","7","7","11","5","4","9","5",
"방화","노원","범죄 발생지","","21","26","15","15","15","10","10","12","8","11","3","15","14","9",
"방화","은평","범죄 발생지","","35","10","13","8","16","12","8","23","13","8","4","7","10","10",
"방화","서대문","범죄 발생지","","13","30","29","12","12","6","10","10","9","12","8","9","4","2",
"방화","마포","범죄 발생지","","8","11","14","9","11","3","6","5","5","8","9","5","9","5",
"방화","양천","범죄 발생지","","27","9","10","12","22","15","10","14","7","11","5","4","6","9",
"방화","강서","범죄 발생지","","26","15","18","15","17","12","11","18","24","12","11","7","14","12",
"방화","구로","범죄 발생지","","20","25","14","19","10","10","6","15","8","11","4","14","11","5",
"방화","금천","범죄 발생지","","12","16","2","6","5","10","5","8","9","9","7","7","6","5",
"방화","영등포","범죄 발생지","","14","26","15","10","18","16","14","17","16","15","11","15","9","3",
"방화","동작","범죄 발생지","","6","14","10","8","6","12","8","11","11","6","2","4","8","7",
"방화","관악","범죄 발생지","","28","16","18","19","16","13","13","19","18","12","15","8","13","11",
"방화","서초","범죄 발생지","","8","9","16","8","14","4","7","10","9","5","6","13","10","8",
"방화","강남","범죄 발생지","","26","30","19","19","12","13","10","11","8","8","12","13","11","9",
"방화","송파","범죄 발생지","","18","26","7","15","15","22","11","11","14","9","9","9","11","10",
"방화","강동","범죄 발생지","","18","11","8","16","3","10","11","12","13","4","4","7","7","5",
"방화","중구","범죄 발생지","","3","3","1","1","3","2","3","5","4","5","2","1","3","3",
"방화","서구","범죄 발생지","","11","5","2","3","5","1","2","4","2","2","3","4","1","3",
"방화","동구","범죄 발생지","","3","4","4","3","4","6","3","8","5","6","3","3","1","2",
"방화","영도","범죄 발생지","","6","2","10","4","3","10","4","-","6","2","3","7","4","1",
"방화","부산진","범죄 발생지","","11","20","14","14","23","16","9","12","15","14","8","12","9","11",
