"범죄별","검거단서별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","계","범죄의 검거 단서[건]","건","1569547","1720000","1914469","1933566","1620942","1496334","1496304","1543930","1518792","1638549","1691370","1556963","1466406","1479904","1399428","1228452","1219006","1272642","1363515",
"합계","현행범","범죄의 검거 단서[건]","건","463093","518220","568288","443071","289175","185478","160043","153829","149562","149616","144508","120745","99386","87093","67099","50890","55683","61120","54476",
"합계","피해자신고","범죄의 검거 단서[건]","건","284414","302726","331164","382923","354536","373499","403330","413991","431089","473495","489374","476766","464272","489041","475063","423638","392203","394984","390860",
"합계","고소","범죄의 검거 단서[건]","건","232701","216971","252621","254432","195925","201482","211365","211920","205702","218398","210767","196981","211890","213458","210319","176941","185471","224965","300056",
"합계","고발","범죄의 검거 단서[건]","건","116322","115782","113523","110373","91911","62090","65774","72893","67401","61976","58917","56751","56821","56086","49212","44175","47868","50842","54275",
"합계","자수","범죄의 검거 단서[건]","건","25063","20681","24483","29671","26320","20341","20052","19536","18235","17599","15898","15334","15264","13514","13905","9865","7278","7492","7338",
"합계","민간체포","범죄의 검거 단서[건]","건","889","976","817","754","911","817","795","696","644","445","355","281","231","311","251","271","205","235","232",
"합계","진정투서","범죄의 검거 단서[건]","건","19842","21854","26481","29662","29506","35931","36854","44419","56033","78007","84453","82823","89341","98354","106349","85262","93890","87973","102531",
"합계","타인신고","범죄의 검거 단서[건]","건","80023","87194","93452","97845","102050","101070","105671","108497","105318","116767","112226","110525","120497","126321","133367","124094","129624","136887","126794",
"합계","신문","범죄의 검거 단서[건]","건","6701","7050","7227","7730","5263","2907","3417","3208","3349","3869","4150","4307","3491","3118","2834","3202","3527","4492","5323",
"합계","불심검문","범죄의 검거 단서[건]","건","117179","173130","217658","190011","185092","163535","159384","185884","164139","175757","225983","177363","103302","79981","59552","50169","51070","54786","58120",
"합계","탐문정보","범죄의 검거 단서[건]","건","88668","113921","110789","170283","116510","96830","81189","86844","73942","84623","79795","72259","60879","58558","49967","50007","56200","51044","50101",
"합계","안면식별","범죄의 검거 단서[건]","건","233","193","194","260","304","231","265","310","259","339","300","237","292","256","183","166","208","211","157",
"합계","감식자료","범죄의 검거 단서[건]","건","860","1068","980","1228","1898","1201","1093","1156","1096","1051","831","799","539","772","441","441","406","433","301",
"합계","변사체","범죄의 검거 단서[건]","건","714","792","769","813","738","572","644","664","591","527","551","587","601","520","470","405","404","356","299",
"합계","범죄수법","범죄의 검거 단서[건]","건","664","922","724","1617","1403","988","823","1039","1042","1094","775","818","599","554","373","303","426","337","544",
"합계","발자국","범죄의 검거 단서[건]","건","39","40","81","40","96","201","71","57","27","102","77","29","23","13","6","3","20","13","3",
"합계","검사지휘","범죄의 검거 단서[건]","건","1562","1238","1359","1786","3853","1605","1779","1746","1688","1884","1862","1513","2241","2390","3234","596","184","128","129",
"합계","타기관에서 이송","범죄의 검거 단서[건]","건","2214","1897","2131","1976","2207","1162","935","1600","1277","1043","3143","982","1270","1702","1425","1851","2146","1795","1957",
"합계","범행도구등 발견","범죄의 검거 단서[건]","건","458","748","707","952","442","324","514","381","324","309","250","344","161","164","136","177","167","658","259",
"합계","장물","범죄의 검거 단서[건]","건","2047","2282","1698","3465","2548","1525","1222","1833","1233","1085","751","1031","697","402","336","174","159","386","204",
"합계","전과조회","범죄의 검거 단서[건]","건","352","347","449","477","229","111","104","94","93","110","137","75","82","122","111","99","87","150","204",
"합계","기타","범죄의 검거 단서[건]","건","125509","131968","158874","204197","210025","244434","240980","233333","147250","250453","256267","236413","234527","247174","224795","205723","191780","193355","209352",
"합계","미상","범죄의 검거 단서[건]","건","","","","","","","","","88498","","","","","","","","","","",
"형법범","계","범죄의 검거 단서[건]","건","640296","667959","709117","836099","710146","678817","684832","696449","705861","784441","789278","752903","757922","791397","767742","651055","690847","721603","783374",
"형법범","현행범","범죄의 검거 단서[건]","건","178829","189513","192662","195806","144450","126258","132022","128749","128511","129298","121151","103277","83047","72385","55662","40612","42922","46124","40442",
"형법범","피해자신고","범죄의 검거 단서[건]","건","113761","128320","152264","191478","175747","192936","209128","219376","228849","255610","277470","286056","293534","320321","314183","283304","301782","308997","305115",
"형법범","고소","범죄의 검거 단서[건]","건","211408","191590","184827","194523","169468","173138","179454","181434","178417","189235","183721","173442","187343","188374","184773","151532","157062","184502","230681",
"형법범","고발","범죄의 검거 단서[건]","건","4060","4370","4925","5225","4668","4650","4135","4950","3876","4222","3886","4183","4738","5423","5893","5371","5622","7141","8777",
"형법범","자수","범죄의 검거 단서[건]","건","7410","3654","3490","2703","2031","1916","1492","1600","1413","1420","1386","1436","1544","1526","1752","1946","2102","2138","2180",
"형법범","민간체포","범죄의 검거 단서[건]","건","663","771","639","616","723","676","688","602","585","392","310","252","208","280","231","253","185","207","215",
"형법범","진정투서","범죄의 검거 단서[건]","건","7934","10445","15355","17731","19502","26488","27550","34283","43428","63912","70549","69227","75128","83032","91231","69737","76101","68717","85366",
"형법범","타인신고","범죄의 검거 단서[건]","건","16957","17567","18221","17238","19566","18975","18045","17648","17194","19547","22582","22499","25454","27926","25571","23603","25442","25864","23939",
"형법범","신문","범죄의 검거 단서[건]","건","2315","3175","4135","3710","2641","895","577","818","855","1270","798","662","638","862","699","816","888","1664","2047",
"형법범","불심검문","범죄의 검거 단서[건]","건","11203","12005","13524","18093","11240","4679","3498","4182","2360","2577","2125","1767","1288","1053","932","588","619","1008","1166",
"형법범","탐문정보","범죄의 검거 단서[건]","건","45871","64552","66449","109244","82764","62719","47238","51367","48950","55277","46696","37922","33807","33335","33377","28070","29652","25629","27145",
"형법범","안면식별","범죄의 검거 단서[건]","건","163","154","174","219","278","206","243","292","253","326","276","227","282","245","172","160","198","202","151",
"형법범","감식자료","범죄의 검거 단서[건]","건","802","1014","911","1141","1794","1100","1023","1066","997","966","759","744","503","518","397","370","349","351","233",
"형법범","변사체","범죄의 검거 단서[건]","건","644","714","679","733","670","500","570","599","543","488","515","526","551","477","442","375","361","330","260",
"형법범","범죄수법","범죄의 검거 단서[건]","건","649","888","679","1572","1368","949","800","994","994","1050","700","757","523","499","270","257","346","299","484",
"형법범","발자국","범죄의 검거 단서[건]","건","36","35","80","37","94","200","71","55","25","102","72","27","22","10","4","2","19","13","1",
"형법범","검사지휘","범죄의 검거 단서[건]","건","950","622","711","930","2241","942","1074","1162","1170","1221","1111","954","1517","1678","2476","368","88","55","55",
"형법범","타기관에서 이송","범죄의 검거 단서[건]","건","537","298","300","261","538","322","328","657","390","363","334","333","386","607","519","584","830","654","671",
"형법범","범행도구등 발견","범죄의 검거 단서[건]","건","368","697","564","656","342","244","160","308","260","228","184","272","115","108","87","123","87","109","119",
"형법범","장물","범죄의 검거 단서[건]","건","2019","2253","1674","3426","2529","1517","1210","1826","1229","1076","746","1019","695","401","336","172","159","378","198",
"형법범","전과조회","범죄의 검거 단서[건]","건","162","152","192","251","119","73","73","67","61","63","109","47","57","83","89","70","60","100","126",
"형법범","기타","범죄의 검거 단서[건]","건","33555","35170","46662","70506","67373","59434","55453","44414","35458","55798","53798","47274","46542","52254","48646","42742","45973","47121","54003",
"형법범","미상","범죄의 검거 단서[건]","건","","","","","","","","","10043","","","","","","","","","","",
"재산범죄","계","범죄의 검거 단서[건]","건","296368","318040","340116","430542","374560","337551","330809","351361","346535","394144","389937","370121","382437","414793","422267","348585","373243","398592","466944",
"재산범죄","현행범","범죄의 검거 단서[건]","건","35240","40516","41577","45687","31645","25415","26427","26919","24943","25100","23460","20931","18359","17320","14556","10478","10508","11605","10010",
"재산범죄","피해자신고","범죄의 검거 단서[건]","건","33748","41474","54368","83558","76175","76195","83874","92734","96395","107566","114981","120588","125812","143438","148808","136746","148234","162852","169275",
"재산범죄","고소","범죄의 검거 단서[건]","건","148610","132450","127313","135319","113070","113767","115660","118386","112144","117530","111509","100950","106186","107189","105477","79381","82553","103210","142702",
"재산범죄","고발","범죄의 검거 단서[건]","건","1382","1430","1686","1383","1252","1480","1676","1840","1704","1932","1919","2227","2407","2761","3145","3026","2917","3373","4609",
"재산범죄","자수","범죄의 검거 단서[건]","건","2218","2078","1692","1346","1158","1232","884","1062","925","851","857","966","976","900","1156","1363","1437","1404","1460",
"재산범죄","민간체포","범죄의 검거 단서[건]","건","554","635","534","522","580","548","581","492","473","282","224","182","147","155","181","201","147","168","183",
"재산범죄","진정투서","범죄의 검거 단서[건]","건","5919","8138","12872","14952","16930","23798","24750","31350","39639","59235","65797","64638","71038","79285","86947","65116","69300","60337","76388",
"재산범죄","타인신고","범죄의 검거 단서[건]","건","4369","4307","4630","4494","5397","4284","4221","4103","3443","3596","4661","3957","4027","5063","4362","4093","4505","4564","4234",
"재산범죄","신문","범죄의 검거 단서[건]","건","1844","2578","3411","3138","2074","729","464","677","638","979","588","458","473","671","552","667","486","1210","1421",
"재산범죄","불심검문","범죄의 검거 단서[건]","건","9395","10422","11690","15107","9795","4021","2944","3542","1978","1922","1388","1009","843","637","631","405","401","725","788",
"재산범죄","탐문정보","범죄의 검거 단서[건]","건","31989","49906","47738","73739","64476","48553","36118","39630","35566","40837","32182","27248","25221","25217","25956","21997","23949","20701","22473",
"재산범죄","안면식별","범죄의 검거 단서[건]","건","117","105","99","156","205","172","204","251","193","287","226","204","267","226","154","151","192","187","142",
"재산범죄","감식자료","범죄의 검거 단서[건]","건","580","795","741","906","1549","839","796","877","748","777","633","636","395","438","334","296","288","288","195",
"재산범죄","변사체","범죄의 검거 단서[건]","건","19","22","19","33","15","15","18","24","31","12","13","21","24","20","49","11","64","63","39",
"재산범죄","범죄수법","범죄의 검거 단서[건]","건","604","815","639","1538","1320","897","758","901","931","983","636","695","481","462","241","243","318","287","452",
"재산범죄","발자국","범죄의 검거 단서[건]","건","31","31","78","30","81","199","69","54","25","101","69","27","21","8","2","2","14","13","1",
"재산범죄","검사지휘","범죄의 검거 단서[건]","건","635","285","345","474","1319","528","632","684","680","649","664","478","836","891","1594","215","43","19","18",
"재산범죄","타기관에서 이송","범죄의 검거 단서[건]","건","131","155","127","131","299","180","204","463","269","234","203","186","200","399","338","376","538","341","355",
"재산범죄","범행도구등 발견","범죄의 검거 단서[건]","건","331","675","480","510","298","206","129","162","180","166","113","178","68","84","56","55","67","91","100",
"재산범죄","장물","범죄의 검거 단서[건]","건","2001","2231","1663","3370","2495","1508","1198","1814","1224","1071","745","1017","694","401","336","171","158","377","197",
"재산범죄","전과조회","범죄의 검거 단서[건]","건","118","102","137","176","82","53","51","55","51","55","100","37","47","73","81","60","49","77","109",
"재산범죄","기타","범죄의 검거 단서[건]","건","16533","18890","28277","43973","44345","32932","29151","25341","20923","29979","28969","23488","23915","29155","27311","23532","27075","26700","31793",
"재산범죄","미상","범죄의 검거 단서[건]","건","","","","","","","","","3432","","","","","","","","","","",
"절도","계","범죄의 검거 단서[건]","건","81724","102816","113656","177595","145978","113155","107540","119696","119831","127798","119010","114263","107208","114203","111656","104316","114095","127309","129737",
"절도","현행범","범죄의 검거 단서[건]","건","16029","15924","16371","19812","13182","9667","9401","9606","9235","8865","7386","6484","5313","5242","4653","3880","3505","4038","3686",
"절도","피해자신고","범죄의 검거 단서[건]","건","20415","24434","31811","55892","50388","45853","51339","59169","60414","67379","71284","73830","70606","76223","75585","73155","80059","89583","91463",
"절도","고소","범죄의 검거 단서[건]","건","3544","2941","2789","2612","2282","2391","2950","3065","2975","2834","2531","2468","2578","2904","3028","2872","2693","3056","3963",
"절도","고발","범죄의 검거 단서[건]","건","74","73","56","43","45","63","72","62","66","58","51","46","73","73","92","61","76","109","127",
"절도","자수","범죄의 검거 단서[건]","건","447","461","549","479","545","471","387","573","566","454","415","520","489","460","433","442","413","456","409",
"절도","민간체포","범죄의 검거 단서[건]","건","519","594","490","492","550","515","543","456","445","267","208","158","138","136","155","174","130","147","154",
"절도","진정투서","범죄의 검거 단서[건]","건","303","376","363","280","287","259","399","408","415","517","582","533","551","566","672","815","974","1430","1976",
"절도","타인신고","범죄의 검거 단서[건]","건","2115","2537","2801","2543","3184","2707","2652","2436","1854","1983","1808","1980","1702","1866","1901","1465","1579","1694","1507",
"절도","신문","범죄의 검거 단서[건]","건","1050","1818","1968","2439","1530","617","380","603","458","859","453","388","318","402","307","292","183","681","568",
"절도","불심검문","범죄의 검거 단서[건]","건","5478","6877","6962","9451","7513","3174","1994","1623","1312","1292","925","695","528","432","445","271","284","468","520",
"절도","탐문정보","범죄의 검거 단서[건]","건","21567","32979","33364","53098","39729","29210","22441","27016","28148","28329","21288","17801","15983","16598","15887","13638","15622","14430","14132",
"절도","안면식별","범죄의 검거 단서[건]","건","109","91","79","143","189","152","179","223","178","264","198","168","216","189","115","115","164","131","119",
"절도","감식자료","범죄의 검거 단서[건]","건","565","770","707","862","1488","793","746","800","694","692","534","515","298","298","184","144","147","149","119",
"절도","변사체","범죄의 검거 단서[건]","건","3","8","6","16","5","8","9","8","20","5","7","4","4","6","3","2","2","7","5",
"절도","범죄수법","범죄의 검거 단서[건]","건","512","760","560","1502","1271","849","707","865","918","935","579","652","453","406","190","167","172","201","275",
"절도","발자국","범죄의 검거 단서[건]","건","31","30","74","27","76","197","68","52","25","101","68","24","18","6","1","1","12","13","1",
"절도","검사지휘","범죄의 검거 단서[건]","건","36","30","32","71","83","62","55","63","47","38","34","32","45","36","40","7","3","1","-",
"절도","타기관에서 이송","범죄의 검거 단서[건]","건","47","61","34","41","84","58","84","155","102","75","81","84","72","62","60","44","60","50","46",
"절도","범행도구등 발견","범죄의 검거 단서[건]","건","71","645","454","302","265","182","125","151","168","131","80","147","46","68","39","46","46","54","77",
"절도","장물","범죄의 검거 단서[건]","건","1534","1735","1201","2715","1853","1189","815","864","594","701","417","703","457","269","227","112","125","222","78",
"절도","전과조회","범죄의 검거 단서[건]","건","48","29","53","88","41","9","16","20","14","30","20","14","19","21","21","20","13","25","32",
"절도","기타","범죄의 검거 단서[건]","건","7227","9643","12932","24687","21388","14729","12178","11478","10907","11989","10061","7017","7301","7940","7618","6593","7833","10364","10480",
"절도","미상","범죄의 검거 단서[건]","건","","","","","","","","","276","","","","","","","","","","",
"장물","계","범죄의 검거 단서[건]","건","2468","3000","2175","3343","3175","2560","3699","6248","3575","4160","2117","1910","928","890","587","274","250","308","390",
"장물","현행범","범죄의 검거 단서[건]","건","69","33","74","47","33","27","277","136","83","65","54","22","8","68","4","-","2","5","4",
"장물","피해자신고","범죄의 검거 단서[건]","건","192","238","201","300","308","235","331","360","434","403","315","240","143","159","113","88","55","75","59",
"장물","고소","범죄의 검거 단서[건]","건","51","44","52","58","55","73","67","61","65","54","60","48","52","48","54","33","32","42","55",
"장물","고발","범죄의 검거 단서[건]","건","2","1","-","1","-","-","2","8","-","4","2","","-","1","3","-","1","2","21",
"장물","자수","범죄의 검거 단서[건]","건","2","1","6","8","3","14","-","14","6","-","2","1","4","2","1","1","0","2","1",
"장물","민간체포","범죄의 검거 단서[건]","건","-","1","1","-","1","-","-","1","-","-","2","","-","-","1","-","0","-","-",
"장물","진정투서","범죄의 검거 단서[건]","건","5","32","5","2","5","7","3","11","13","8","5","4","5","6","5","3","3","7","9",
"장물","타인신고","범죄의 검거 단서[건]","건","43","24","23","41","29","36","59","91","62","58","31","38","33","86","15","8","12","8","6",
"장물","신문","범죄의 검거 단서[건]","건","77","162","37","44","100","18","22","18","42","12","8","6","9","1","-","-","3","1","5",
"장물","불심검문","범죄의 검거 단서[건]","건","105","116","97","233","40","36","159","122","79","110","47","11","11","5","4","3","1","4","2",
"장물","탐문정보","범죄의 검거 단서[건]","건","763","1362","829","1143","1340","1175","1697","2781","1512","2190","894","945","306","192","166","45","50","47","42",
"장물","안면식별","범죄의 검거 단서[건]","건","1","-","-","-","-","-","-","1","3","-","-","","1","-","-","-","0","-","-",
"장물","감식자료","범죄의 검거 단서[건]","건","-","-","2","-","1","2","2","1","-","2","-","","-","-","-","-","0","-","-",
"장물","변사체","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","0","-","-",
"장물","범죄수법","범죄의 검거 단서[건]","건","3","-","14","4","2","5","-","-","-","-","-","1","-","-","-","-","0","1","-",
"장물","발자국","범죄의 검거 단서[건]","건","-","-","1","-","-","-","-","-","-","-","-","","-","-","-","-","0","-","-",
"장물","검사지휘","범죄의 검거 단서[건]","건","1","5","2","4","6","1","7","9","7","1","4","","6","2","4","-","0","-","1",
"장물","타기관에서 이송","범죄의 검거 단서[건]","건","1","1","3","1","4","5","4","6","5","3","1","1","2","2","1","1","1","1","-",
"장물","범행도구등 발견","범죄의 검거 단서[건]","건","-","-","1","2","2","5","-","3","3","2","-","3","-","-","-","-","0","2","-",
"장물","장물","범죄의 검거 단서[건]","건","418","372","344","578","569","248","351","756","558","260","197","190","107","63","64","35","22","40","93",
"장물","전과조회","범죄의 검거 단서[건]","건","1","1","2","-","1","-","-","1","-","-","-","","-","-","-","-","0","-","-",
"장물","기타","범죄의 검거 단서[건]","건","734","607","481","877","676","673","718","1868","658","988","495","400","241","255","152","57","68","71","92",
"장물","미상","범죄의 검거 단서[건]","건","","","","","","","","","45","","","","","","","","","","",
"사기","계","범죄의 검거 단서[건]","건","164496","158053","167437","189162","163770","169990","164769","169318","167253","199492","203236","190260","207927","230612","241133","183098","194450","200673","264525",
"사기","현행범","범죄의 검거 단서[건]","건","7951","9956","10827","11472","8569","7385","8159","8923","7660","8069","7801","7248","6981","6688","5763","3364","3618","4157","3560",
"사기","피해자신고","범죄의 검거 단서[건]","건","5687","6903","11365","15050","13685","16422","17059","17107","18312","19848","19088","20459","26773","34978","39549","31610","33755","37585","44276",
"사기","고소","범죄의 검거 단서[건]","건","122194","108462","103788","110300","91322","91013","91620","93867","87498","91866","88196","79924","84168","85372","83940","61880","65249","82392","117112",
"사기","고발","범죄의 검거 단서[건]","건","709","811","1019","676","558","685","683","795","597","716","798","1135","1040","1337","1513","1789","1532","1694","2676",
"사기","자수","범죄의 검거 단서[건]","건","1492","1384","895","661","450","643","343","307","230","199","242","251","266","194","459","669","758","654","765",
"사기","민간체포","범죄의 검거 단서[건]","건","20","21","27","18","10","13","26","22","18","4","6","14","5","14","20","14","13","15","24",
"사기","진정투서","범죄의 검거 단서[건]","건","5049","7045","11820","13971","15943","22437","23316","29945","37918","57356","63780","62773","69393","77221","85116","63174","66954","57007","72042",
"사기","타인신고","범죄의 검거 단서[건]","건","1645","925","1000","1152","1218","666","584","608","588","553","1567","738","807","1472","751","865","1035","970","1074",
"사기","신문","범죄의 검거 단서[건]","건","656","521","982","583","308","73","28","40","113","69","84","30","116","244","223","351","226","426","674",
"사기","불심검문","범죄의 검거 단서[건]","건","3256","2915","4121","4262","1832","650","649","569","435","345","263","157","184","119","104","87","82","154","156",
"사기","탐문정보","범죄의 검거 단서[건]","건","8078","12260","10564","16079","16020","15756","9738","7176","4148","7354","6875","5000","5037","5014","6070","4859","4705","2982","4744",
"사기","안면식별","범죄의 검거 단서[건]","건","4","9","13","5","9","6","10","16","2","3","5","10","23","17","16","13","7","25","4",
"사기","감식자료","범죄의 검거 단서[건]","건","9","8","10","15","19","23","22","26","22","50","54","77","70","109","109","114","113","116","61",
"사기","변사체","범죄의 검거 단서[건]","건","13","12","9","15","8","7","7","11","11","7","6","16","18","10","43","6","60","46","31",
"사기","범죄수법","범죄의 검거 단서[건]","건","89","55","62","17","39","35","44","13","9","35","49","31","23","45","43","70","138","77","165",
"사기","발자국","범죄의 검거 단서[건]","건","-","1","1","2","1","-","-","-","-","-","-","1","1","2","-","1","1","-","-",
"사기","검사지휘","범죄의 검거 단서[건]","건","514","215","277","351","1019","388","459","506","521","471","512","370","648","695","1314","175","31","13","10",
"사기","타기관에서 이송","범죄의 검거 단서[건]","건","70","78","81","76","185","97","102","125","137","138","101","80","103","312","252","297","444","250","270",
"사기","범행도구등 발견","범죄의 검거 단서[건]","건","257","27","13","5","13","3","-","2","1","16","26","9","2","6","6","4","11","10","12",
"사기","장물","범죄의 검거 단서[건]","건","4","17","92","34","7","4","3","7","12","2","3","5","3","-","2","2","5","4","2",
"사기","전과조회","범죄의 검거 단서[건]","건","59","62","72","81","34","39","34","30","36","20","76","20","24","51","57","34","31","48","71",
"사기","기타","범죄의 검거 단서[건]","건","6740","6366","10399","14337","12521","13645","11883","9223","7088","12371","13704","11912","12242","16712","15783","13720","15682","12048","16796",
"사기","미상","범죄의 검거 단서[건]","건","","","","","","","","","1897","","","","","","","","","","",
"횡령","계","범죄의 검거 단서[건]","건","21668","21556","23624","24367","22219","21044","23119","24626","23495","27969","27923","27072","28510","28636","29020","23921","26407","31778","35494",
"횡령","현행범","범죄의 검거 단서[건]","건","484","290","239","257","137","153","196","237","215","300","337","270","274","299","248","202","189","266","187",
"횡령","피해자신고","범죄의 검거 단서[건]","건","1298","873","1087","1265","1315","1611","2082","2415","2847","4325","6171","7165","8209","9177","9886","9353","10849","12523","12373",
"횡령","고소","범죄의 검거 단서[건]","건","16339","14935","15021","16226","13908","14241","14879","15277","15327","16457","14525","12645","12804","12568","12197","9105","9383","11884","14713",
"횡령","고발","범죄의 검거 단서[건]","건","409","360","432","436","462","476","612","625","626","772","690","654","795","833","872","648","742","962","1102",
"횡령","자수","범죄의 검거 단서[건]","건","159","116","122","85","57","41","71","83","58","81","91","99","101","99","120","110","130","143","154",
"횡령","민간체포","범죄의 검거 단서[건]","건","6","5","4","1","4","4","3","6","6","4","3","3","2","-","3","5","2","2","2",
"횡령","진정투서","범죄의 검거 단서[건]","건","399","497","493","510","524","867","752","709","929","982","992","875","643","619","680","624","763","1055","1341",
"횡령","타인신고","범죄의 검거 단서[건]","건","134","214","190","184","171","210","298","358","336","274","360","337","362","314","348","298","361","428","390",
"횡령","신문","범죄의 검거 단서[건]","건","29","46","396","23","113","12","15","8","15","15","18","16","19","8","9","8","14","37","86",
"횡령","불심검문","범죄의 검거 단서[건]","건","482","407","413","985","328","129","112","1153","125","159","134","129","109","74","60","27","25","82","84",
"횡령","탐문정보","범죄의 검거 단서[건]","건","834","2280","2404","1802","1319","1610","1557","1866","1025","1978","1988","2365","2722","2178","2486","1910","2196","2024","2565",
"횡령","안면식별","범죄의 검거 단서[건]","건","2","2","2","4","1","4","7","4","2","13","13","11","16","12","11","12","12","18","15",
"횡령","감식자료","범죄의 검거 단서[건]","건","-","4","7","5","3","5","2","1","3","2","5","6","2","8","22","20","6","5","-",
"횡령","변사체","범죄의 검거 단서[건]","건","3","1","3","2","2","-","1","2","-","-","-","","1","2","2","2","0","8","2",
"횡령","범죄수법","범죄의 검거 단서[건]","건","-","-","1","1","2","5","2","19","2","-","3","8","5","4","6","4","2","4","8",
"횡령","발자국","범죄의 검거 단서[건]","건","-","-","1","-","-","1","-","-","-","-","-","","-","-","-","-","0","-","-",
"횡령","검사지휘","범죄의 검거 단서[건]","건","52","19","17","31","116","37","62","73","56","83","77","45","81","85","153","24","3","3","2",
"횡령","타기관에서 이송","범죄의 검거 단서[건]","건","4","7","5","8","19","15","8","26","17","9","14","13","16","16","20","25","18","23","27",
"횡령","범행도구등 발견","범죄의 검거 단서[건]","건","3","3","5","197","14","14","-","4","4","9","6","14","14","6","6","1","4","19","9",
"횡령","장물","범죄의 검거 단서[건]","건","45","107","26","39","66","67","28","187","60","108","128","118","127","69","43","22","6","111","24",
"횡령","전과조회","범죄의 검거 단서[건]","건","7","5","4","3","3","4","1","2","-","4","3","2","3","1","2","4","3","3","4",
"횡령","기타","범죄의 검거 단서[건]","건","979","1385","2752","2303","3655","1538","2431","1571","1300","2394","2365","2297","2205","2264","1846","1517","1699","2178","2406",
"횡령","미상","범죄의 검거 단서[건]","건","","","","","","","","","542","","","","","","","","","","",
"배임","계","범죄의 검거 단서[건]","건","4898","4751","4693","6187","13962","4842","4360","4500","4719","5111","5025","4317","4896","5005","4224","3492","3279","3992","4329",
"배임","현행범","범죄의 검거 단서[건]","건","6","10","9","243","5","3","-","2","14","3","3","2","-","-","2","1","2","2","3",
"배임","피해자신고","범죄의 검거 단서[건]","건","18","18","17","32","29","10","19","15","25","22","24","23","13","16","20","30","42","51","64",
"배임","고소","범죄의 검거 단서[건]","건","3593","3460","3142","3539","2985","3081","3009","3085","3188","3149","3018","2696","3254","2946","2799","2130","2137","2512","2750",
"배임","고발","범죄의 검거 단서[건]","건","147","143","135","191","158","203","262","305","353","327","304","320","444","448","572","455","493","516","578",
"배임","자수","범죄의 검거 단서[건]","건","29","22","11","14","5","1","1","7","-","4","3","1","1","7","3","2","2","7","6",
"배임","민간체포","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","1","1","-","-","","-","-","-","-","0","1","-",
"배임","진정투서","범죄의 검거 단서[건]","건","43","43","50","36","39","49","46","54","63","71","59","53","53","511","33","45","54","79","85",
"배임","타인신고","범죄의 검거 단서[건]","건","19","2","8","7","10","4","9","3","2","4","6","7","11","7","6","6","9","7","8",
"배임","신문","범죄의 검거 단서[건]","건","16","8","3","6","5","2","8","3","4","5","8","9","2","6","-","1","0","7","7",
"배임","불심검문","범죄의 검거 단서[건]","건","29","22","17","33","5","4","4","4","1","-","1","3","1","-","-","-","0","-","1",
"배임","탐문정보","범죄의 검거 단서[건]","건","526","660","153","1089","5636","356","258","455","217","171","208","184","129","100","71","314","44","52","39",
"배임","안면식별","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","0","-","-",
"배임","감식자료","범죄의 검거 단서[건]","건","-","-","-","-","-","-","1","-","-","-","-","","-","-","-","-","0","-","-",
"배임","변사체","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","1","1","-",
"배임","범죄수법","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","-","-","9","-","1","-","-","-","-","0","-","-",
"배임","발자국","범죄의 검거 단서[건]","건","-","-","-","-","-","-","-","-","-","-","-","","-","-","-","-","1","-","-",
"배임","검사지휘","범죄의 검거 단서[건]","건","19","5","5","9","54","21","22","13","28","37","18","15","31","38","41","4","3","2","2",
"배임","타기관에서 이송","범죄의 검거 단서[건]","건","5","1","1","1","1","1","-","141","2","2","1","4","1","2","3","4","4","4","5",
"배임","범행도구등 발견","범죄의 검거 단서[건]","건","-","-","5","2","-","-","-","-","-","-","-","","-","-","-","-","0","-","-",
"배임","장물","범죄의 검거 단서[건]","건","-","-","-","4","-","-","-","-","-","-","-","1","-","-","-","-","0","-","-",
"배임","전과조회","범죄의 검거 단서[건]","건","1","1","2","2","-","-","-","-","-","-","-","","-","-","-","-","0","-","-",
"배임","기타","범죄의 검거 단서[건]","건","447","356","1135","979","5030","1107","721","412","232","1307","1372","998","956","924","674","500","487","751","781",
"배임","미상","범죄의 검거 단서[건]","건","","","","","","","","","589","","","","","","","","","","",
"손괴","계","범죄의 검거 단서[건]","건","21114","27864","28531","29888","25456","25960","27322","26973","27662","29614","32626","32299","32968","35447","35647","33484","34762","34532","32469",
"손괴","현행범","범죄의 검거 단서[건]","건","10701","14303","14057","13856","9719","8180","8394","8015","7736","7798","7879","6905","5783","5023","3886","3031","3192","3137","2570",
"손괴","피해자신고","범죄의 검거 단서[건]","건","6138","9008","9887","11019","10450","12064","13044","13668","14363","15589","18099","18871","20068","22885","23655","22510","23474","23035","21040",
"손괴","고소","범죄의 검거 단서[건]","건","2889","2608","2521","2584","2518","2968","3135","3031","3091","3170","3179","3169","3330","3351","3459","3361","3059","3324","4109",
"손괴","고발","범죄의 검거 단서[건]","건","41","42","44","36","29","53","45","45","62","55","74","72","55","69","93","73","73","90","105",
