"협박",9205,626,459,445,980,863,1004,1267,1429,2132,14107,906,725,788,1570,1345,1571,2025,2331,2846,16444,1092,812,1070,1905,1769,2012,2329,2757,2698,16007,1011,777,1108,1857,1777,1982,2424,2590,2481,17777,1080,861,1117,1985,1829,2137,2781,2890,3097,21648,1331,1050,1348,2388,2328,2743,3352,3477,3631,21814,1247,1030,1357,2326,2403,2841,3374,3376,3860,21502,1034,777,1180,2317,2471,2807,3407,3716,3793,21963,1323,981,1343,2248,2435,2709,3448,3699,3777,23346,1398,1138,1473,2271,2497,2868,3559,3692,4450,24558,1338,1059,1391,2222,2375,2813,3376,3476,6508
"공갈",7162,333,242,150,584,589,822,931,819,2692,5356,220,157,129,441,416,644,777,604,1968,4763,216,144,116,455,420,541,570,478,1823,4981,187,133,103,486,365,553,733,673,1748,4823,154,132,81,396,398,569,656,550,1887,5574,159,147,88,465,536,659,683,567,2270,5993,141,129,82,426,554,721,735,541,2664,5587,143,99,84,336,542,693,684,508,2498,7383,213,120,113,330,706,914,903,739,3345,8167,222,186,120,394,666,935,908,695,4041,6799,199,168,81,335,565,784,688,608,3371
"약취와유인",206,6,5,18,23,28,30,27,12,57,195,6,5,10,25,24,35,20,21,49,203,7,9,9,28,28,33,32,15,42,216,12,11,13,29,30,41,30,5,45,199,2,9,14,21,44,35,28,17,29,260,10,13,17,30,43,48,32,13,54,223,8,6,9,21,46,50,23,13,47,251,8,3,9,25,47,59,37,17,46,284,7,3,15,33,43,61,42,21,59,349,12,11,8,22,58,81,40,26,91,311,8,5,15,27,51,56,40,21,88
"체포와감금",1265,57,84,84,155,116,123,137,154,355,1383,79,88,62,194,137,161,181,188,293,1579,113,105,114,182,154,203,212,222,274,1728,120,137,138,206,183,181,228,246,289,1494,113,102,92,165,140,186,199,194,303,1591,109,126,87,195,207,184,165,208,310,1467,94,116,79,145,176,172,164,187,334,1401,96,80,89,123,124,164,181,224,320,1375,96,92,64,113,133,131,179,207,360,1247,78,97,82,94,127,153,152,157,307,1155,83,70,59,81,106,111,131,142,372
"폭력행위등(손괴·강요·주거침입등)",2140,212,182,150,230,196,232,277,364,297,2207,281,180,131,240,191,221,275,336,352,878,65,65,50,119,98,90,96,126,169,843,82,71,49,106,92,82,90,95,176,769,59,55,44,84,85,86,88,109,159,853,55,72,42,122,96,95,100,108,163,982,71,67,67,132,111,123,101,115,195,1209,101,67,62,111,130,136,145,183,274,1209,106,78,68,99,119,117,168,194,260,1427,114,91,83,115,134,145,164,199,382,1221,90,89,61,120,110,128,146,145,332
"폭력행위등(단체등의구성·활동)",1212,154,126,69,84,70,101,167,264,177,1123,100,108,72,80,87,101,129,204,242,190,16,8,8,8,22,17,19,20,72,140,5,13,4,4,7,7,17,14,69,164,11,32,8,-,9,8,18,13,65,169,10,18,2,13,13,10,12,11,80,140,17,9,3,10,8,6,13,12,62,133,3,8,4,7,8,11,10,8,74,124,8,4,2,4,8,6,9,11,72,132,9,7,3,11,5,6,10,13,68,148,9,8,6,4,5,4,3,11,98
"도박과복표",7448,219,148,85,504,452,755,1192,1258,2835,7823,255,170,94,513,557,880,1305,1389,2660,13084,392,214,192,1042,957,1159,1601,1498,6029,8799,272,176,219,701,667,994,1243,1129,3398,6074,176,91,96,305,416,695,870,833,2592,8086,182,110,113,509,524,797,850,791,4210,8068,150,94,62,472,415,699,846,759,4571,6321,164,48,45,291,332,500,1074,571,3296,4407,92,68,40,183,257,558,483,433,2293,5892,162,117,81,270,472,705,728,586,2771,8943,208,134,99,474,449,767,796,627,5389
"과실치사상",1872,107,72,99,195,261,295,248,243,352,2143,126,95,124,260,276,304,301,296,361,2266,93,75,131,302,305,389,317,300,354,2583,108,108,166,315,374,473,358,336,345,2806,108,108,173,372,390,498,386,321,450,3130,125,106,206,434,493,557,413,309,487,2883,108,79,190,410,416,537,381,316,446,2557,40,51,169,370,411,470,364,262,420,2682,66,45,150,403,421,507,388,272,430,2946,80,82,194,418,419,517,425,270,541,3078,57,58,166,330,407,429,368,222,1041
"업무상과실치사상",3150,51,73,268,682,520,531,207,136,682,3322,51,83,266,735,627,527,259,134,640,3388,52,68,302,802,677,557,226,133,571,3485,54,90,314,881,661,606,218,116,545,3621,52,86,291,895,669,569,215,151,693,3713,45,90,329,810,773,589,239,130,708,3604,42,93,289,862,671,573,271,124,679,3339,37,72,299,779,627,505,201,110,709,3616,41,68,327,804,644,556,223,97,856,4161,34,83,377,841,733,604,267,129,1093,4334,47,85,343,759,617,522,225,140,1596
"가정폭력범죄의처벌등에관한특례법",184,14,12,6,18,8,12,26,50,38,236,16,15,14,29,13,22,41,52,34,210,13,14,9,14,30,29,36,41,24,197,7,10,10,19,19,25,44,46,17,361,23,13,30,46,47,38,59,63,42,395,25,15,32,38,41,59,67,68,50,402,9,17,19,50,60,52,57,60,78,1088,53,35,80,125,134,142,203,192,124,1313,63,57,100,153,158,177,204,219,182,1437,77,67,120,154,151,195,248,213,212,1599,84,89,101,178,193,182,234,278,260
"경범죄처벌법",4481,692,623,283,272,206,309,482,986,628,5699,823,697,338,341,318,408,575,1132,1067,7304,1110,1004,392,422,388,519,816,1618,1035,6491,941,877,343,397,368,523,731,1474,837,6713,950,878,369,413,426,512,786,1379,1000,7638,993,888,413,509,510,648,913,1482,1282,7702,949,806,456,488,578,640,1017,1536,1232,7100,661,514,324,450,578,742,1066,1624,1141,8398,953,721,434,507,631,780,1234,1773,1365,10098,1088,1006,567,595,724,897,1387,2031,1803,10375,1033,892,567,610,738,874,1502,2058,2101
"교통사고처리특례법",193099,7383,8188,22022,26306,28393,33161,36102,25674,5870,200301,7424,8033,22814,27656,29813,35404,37474,25886,5797,193032,6637,7596,22150,27531,29732,34250,36368,23535,5233,185509,5928,7054,21565,26810,29156,33739,34814,21740,4703,192030,6039,7128,22156,28570,30082,35458,35929,22049,4619,199592,5587,6688,22934,30361,33011,37752,38043,21121,4095,184990,4658,5580,19955,27960,32057,35848,36145,19064,3723,155625,2413,3445,16661,23799,28416,31344,30722,16500,2325,76210,1981,2618,8416,10699,12224,13935,15228,9383,1726,71186,2083,2806,8172,10094,11195,13004,13778,8310,1744,68155,1883,2724,8051,9834,10668,12415,13420,7581,1579
"도로교통법",14988,799,814,1545,2076,2109,2431,2398,2102,714,18189,896,936,1891,2444,2641,3145,2831,2410,995,17948,942,846,1808,2733,2759,3197,2721,2185,757,17265,636,715,1730,2993,2763,3543,2415,1800,670,13958,623,644,1326,2175,1980,2399,1804,1539,1468,14804,562,624,1585,2582,2386,2831,1951,1465,818,13383,706,679,1307,2000,2174,2473,1792,1502,750,12071,481,418,1028,1808,2122,2338,1688,1487,701,12529,597,553,1140,1941,2116,2283,1684,1409,806,11203,516,594,1064,1575,1824,1970,1510,1217,933,11007,457,574,1078,1589,1808,1969,1424,1149,959
"도로교통법(무면허운전)",35737,1045,943,2140,7940,6095,8103,3595,4160,1716,42320,1229,1120,2658,9709,7022,10502,4168,4973,939,67203,1934,2124,5421,14859,9944,14917,8699,7881,1424,47087,1473,1489,3555,10444,7173,10843,5876,5203,1031,24440,881,899,2013,4781,3911,5164,3132,3004,655,23588,907,849,1918,4825,3947,5031,2831,2620,660,21368,856,938,1585,3863,3856,4535,2597,2511,627,18482,729,680,1323,3383,3332,3971,2224,2348,492,18636,755,754,1353,3422,3473,3806,2286,2239,548,20377,887,904,1626,3617,3480,4185,2698,2299,681,25638,868,896,1816,4889,4798,5755,3209,2606,801
"도로교통법(사고후미조치)",86561,5005,4635,8876,10923,11638,12553,15155,14194,3582,100774,5330,5152,10704,13423,14083,14973,17914,15174,4021,97062,4613,4714,10257,13779,14382,15041,16940,13775,3561,50247,2621,2735,5437,6759,6948,7657,8828,7275,1987,15241,1239,1297,1687,1533,1600,1990,2491,2582,822,12220,866,1030,1434,1276,1382,1778,2081,1789,584,11717,970,986,1238,1156,1238,1596,1956,1891,686,8982,546,530,860,928,1058,1292,1590,1723,455,7937,640,630,765,780,847,981,1282,1541,471,7441,707,730,763,699,747,875,1111,1297,512,7034,603,667,822,667,743,911,1033,1124,464
"도로교통법(음주운전)",219392,25182,15798,8076,4385,4412,6940,18194,105516,30889,211014,24884,17750,9422,4301,4871,7248,17231,98115,27192,201979,24218,20095,12813,6217,5017,6578,16817,86669,23555,178693,23460,19137,10839,5052,4138,5782,16269,72175,21841,140515,18364,15092,8271,3869,3630,5068,13502,56262,16457,107425,14775,12572,7444,3646,3275,4011,10503,39740,11459,95569,14197,11640,5532,2768,2986,4194,10728,33842,9682,91055,9706,6779,2951,1997,2679,4488,12406,42669,7380,100321,12937,9881,5008,2905,3011,4329,11945,40651,9654,101662,13482,11543,6652,3796,3933,4405,11649,36924,9278,97361,12498,10712,6722,4121,3964,4138,11749,34592,8865
"도로교통법(음주측정거부)",2422,391,329,119,68,84,137,237,755,302,2574,423,348,127,69,71,147,252,824,313,2593,439,387,135,83,80,147,266,744,312,2805,506,372,138,84,104,155,299,837,310,2945,528,415,175,76,97,151,339,827,337,2691,489,384,155,86,105,153,288,719,312,2926,502,403,120,81,87,193,346,859,335,3243,415,260,80,83,110,217,496,1211,371,3923,581,392,144,102,123,273,517,1302,489,3491,604,451,177,127,116,192,384,970,470,3108,540,399,154,94,126,206,350,854,385
"마약류관리에관한법률(대마)",778,14,13,5,28,53,50,62,61,492,923,59,17,12,95,65,71,99,115,390,843,27,19,11,135,72,85,83,60,351,1087,45,35,12,158,82,124,130,139,362,944,31,28,19,126,150,65,103,68,354,1566,40,60,22,229,138,147,153,154,623,1790,58,60,33,142,160,242,201,252,642,1682,55,45,27,125,143,194,291,223,579,1984,66,60,45,188,188,245,276,261,655,2178,92,82,72,184,189,284,276,250,749,1741,73,52,70,141,164,177,214,329,521
"마약류관리에관한법률(마약)",606,3,2,4,75,56,125,13,6,322,1100,1,2,11,188,265,176,57,7,393,1215,3,3,10,207,207,257,62,11,455,1305,1,6,16,275,272,298,55,14,368,1283,5,4,20,246,284,301,53,10,360,1437,4,2,20,300,315,326,38,16,416,1899,9,8,19,396,463,504,64,14,422,1338,3,1,20,257,307,258,63,22,407,2086,4,9,32,362,441,442,99,28,669,3764,14,12,77,614,675,673,194,44,1461,1971,17,24,60,363,402,378,104,30,593
"마약류관리에관한법률(향정)",4700,104,82,35,203,232,280,467,382,2915,6350,170,150,90,664,629,473,724,600,2850,6742,247,181,135,911,515,596,847,747,2563,6798,316,202,161,733,544,618,937,782,2505,5592,254,145,111,594,549,475,644,643,2177,6289,229,187,135,632,515,502,721,564,2804,6916,292,195,177,537,525,547,726,639,3278,6039,266,219,186,472,474,483,652,662,2625,7752,303,275,232,631,608,663,991,1071,2978,11169,512,838,357,797,891,940,1163,1187,4484,9484,429,400,294,661,803,802,931,994,4170
"성매매알선등행위의처벌에관한법률",7794,387,226,57,269,287,1046,1324,2723,1475,7669,484,236,62,318,331,1001,1322,2645,1270,15496,881,464,130,619,997,2092,2940,4486,2887,10415,587,389,120,447,839,1652,1914,2692,1775,6978,385,238,70,290,574,1083,1304,1780,1254,5241,273,216,59,196,348,741,941,1381,1086,3511,205,127,32,128,354,552,644,806,663,3221,132,101,29,105,261,501,448,706,938,3750,186,83,24,117,345,694,686,742,873,3343,131,92,31,123,314,585,531,511,1025,3188,129,110,38,94,355,549,491,543,879
"아동·청소년의성보호에관한법률(성매수등)",359,26,18,7,12,26,42,41,49,138,336,17,17,16,22,10,26,40,34,154,424,24,23,10,36,32,42,51,76,130,745,29,33,22,58,76,131,115,93,188,345,26,20,13,24,26,41,43,41,111,319,22,17,5,19,24,37,42,45,108,286,18,9,7,21,16,23,46,32,114,338,18,9,7,13,26,49,51,29,136,326,20,13,9,15,34,34,46,41,114,485,28,29,11,23,47,67,75,48,157,668,33,20,9,37,39,81,103,68,278
"아동·청소년의성보호에관한법률(성착취물등)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2684,87,59,45,234,120,187,129,228,1595,1672,43,26,30,114,97,85,95,117,1065,1669,44,34,41,126,124,127,136,118,919,1712,50,36,21,117,163,115,127,120,963,2394,57,36,57,103,109,114,137,137,1644
"아동·청소년의성보호에관한법률(음란물등)",735,14,7,22,98,31,33,35,30,465,648,11,5,25,34,20,37,29,30,457,838,28,13,14,66,64,64,71,55,463,491,12,14,12,41,34,37,22,24,295,993,32,30,29,46,54,79,60,49,614,748,37,20,22,60,44,55,43,73,394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특가법(도주차량)",12371,1131,989,1158,758,1027,1516,2173,2770,849,12233,1074,935,1181,896,1063,1557,2174,2589,764,8954,741,709,940,756,818,1146,1515,1799,530,4811,358,333,507,368,502,669,859,960,255,2833,244,211,278,233,262,377,471,558,199,405,22,36,45,35,54,51,60,70,32,9821,668,665,957,918,1078,1476,1754,1802,503,8840,340,322,803,820,1108,1405,1853,1905,284,8830,438,467,836,841,1019,1373,1692,1773,391,8283,426,503,932,819,1062,1284,1559,1323,375,8009,420,494,906,867,1014,1269,1481,1254,304
