"죄종별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"총계","발생건수[건]","건","3","-","3","-","-","-","-","-","-","-","-","-",
"총계","검거건수[건]","건","151","97","112","91","76","88","64","91","42","69","68","44",
"총계","발생건수 대비 검거건수[%]","%","5033.3","9700","3733.3","9100","7600","-","-","-","-","-","-","-",
"총계","검거인원[명]","명","478","338","413","482","366","406","268","437","238","198","183","145",
"총계","남자검거인원[명]","명","416","263","378","398","315","361","237","401","124","167","151","123",
"총계","여자검거인원[명]","명","49","66","24","77","44","33","10","22","24","29","24","13",
"총계","불상검거인원[명]","명","13","9","11","7","7","12","21","14","90","2","8","9",
"총계","법인체[개]","개","","15","24","18","6","15","3","10","-","23","18","21",
"강력범죄","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"강력범죄","검거건수[건]","건","-","-","2","","1","-","-","-","-","2","-","-",
"강력범죄","발생건수 대비 검거건수[%]","%","-","","200","","100","-","-","-","-","-","-","-",
"강력범죄","검거인원[명]","명","-","-","3","1","1","-","-","1","-","1","1","-",
"강력범죄","남자검거인원[명]","명","-","-","3","1","1","-","-","1","-","1","1","-",
"강력범죄","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"강력범죄","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"강력범죄","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"살인기수","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"살인기수","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"살인기수","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"살인기수","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인기수","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인기수","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인기수","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인기수","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"살인","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"살인","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"살인","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"살인","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"살인","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"영아살해","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"영아살해","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"영아살해","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"영아살해","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"영아살해","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"영아살해","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"영아살해","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"영아살해","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"존속살해","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"존속살해","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"존속살해","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"존속살해","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속살해","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속살해","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속살해","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"존속살해","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"촉탁·승낙살인","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"자살교사·방조","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"자살교사·방조","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"자살교사·방조","법인체[개]","개","","","","","","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"위계·위력·촉탁·승낙살인","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
