"범죄별(1)",범죄별(2),범죄별(3),1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005
"범죄별(1)",범죄별(2),범죄별(3),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
"특별법범",건축사법,소계,-,-,-,-,-,-,8,10,125.0,18,17,1,3,2,66.7,2,2,-,3,1,33.3,1,1,-,21,21,100.0,36,35,1,2,4,200.0,6,6,-,4,3,75.0,3,3,-,1,1,100.0,1,1,-,3,2,66.6,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",계량법,소계,149,121,81.2,131,120,11,31,25,80.6,26,25,1,-,1,-,1,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,2,3,150.0,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",계량에 관한법률,소계,-,-,-,-,-,-,18,20,111.1,28,27,1,2,2,100.0,3,3,-,3,3,100.0,3,3,-,7,6,85.7,6,6,-,14,14,100.0,16,14,2,54,52,96.3,120,109,11,7,5,71.4,7,7,-,2,3,150.0,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",고물영업법,소계,102,97,95.1,98,96,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",고압가스 안전관리법,소계,-,-,-,-,-,-,3,3,100.0,3,3,-,10,10,100.0,12,12,-,10,9,90.0,10,9,1,9,8,88.9,11,9,2,3,3,100.0,3,2,1,29,28,96.6,32,29,3,9,8,88.9,13,11,2,4,4,100.0,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",고용보험법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,66.6,3,2,1,7,2,28.5,2,1,1,4,4,100.0,5,5,-,2,3,150.0,3,2,1
"특별법범",골재채취법,소계,-,-,-,-,-,-,1,3,300.0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,100.0,2,2,-,3,3,100.0,9,9,-,3,3,100.0,3,3,-,4,4,100.0,4,4,-,4,4,100.0,4,4,-,-,-,-,-,-,-,4,4,100.0,5,4,1,1,1,100.0,1,-,1,-,2,-,4,3,1
"특별법범",공산품품질관리법,소계,106,104,98.1,105,96,9,48,47,97.9,49,40,9,2,3,150.0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공업배치 및 공장설립에 관한 법률,소계,-,-,-,-,-,-,15,12,80.0,12,12,-,77,78,101.3,80,73,7,12,15,125.0,17,16,1,5,6,120.0,7,7,-,10,9,90.0,9,8,1,9,8,88.9,9,8,1,6,5,83.3,10,10,-,12,11,91.6,13,12,1,9,11,122.2,11,11,-,6,7,116.6,8,7,1,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공유수면 관리법,소계,-,-,-,-,-,-,3,3,100.0,3,3,-,3,3,100.0,3,3,-,-,-,-,-,-,-,3,3,100.0,5,5,-,2,3,150.0,3,3,-,2,2,100.0,2,2,-,4,3,75.0,4,4,-,3,2,66.6,2,1,1,1,1,100.0,1,1,-,3,3,100.0,3,3,-,1,3,300.0,1,1,-,-,-,-,-,-,-
