"장소별(1)",2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"장소별(1)",계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상,계,침입절도,소매치기,날치기,들치기,차량이용절도,속임수절도,기타,미상
"유흥접객업소",8586,4031,88,4,456,-,672,3335,9410,4755,70,7,471,-,720,3387,10534,5394,71,6,532,-,619,3912,15217,7432,74,12,596,-,523,6580,16053,7263,56,4,659,-,614,7457,13682,5804,62,5,868,-,505,6438,13214,4961,50,2,1864,-,496,5841,23408,8788,60,5,3368,-,721,10466,13953,5149,12,3,1512,-,335,6313,629,12370,4115,34,4,1506,-,259,6447,5,11739,4116,23,-,1142,-,193,6264,1,9985,2539,36,3,1173,202,6031,1,15445,3575,37,5,1776,-,201,9849,2,15700,3291,48,1,1745,-,199,10415,1,12642,2866,17,2,1173,-,111,8471,2,7116,1981,26,1,543,-,44,4521,-,8323,1521,14,1,556,0,52,6178,1,8176,1338,5,1,470,-,99,6232,31,6729,1024,10,2,306,-,64,5305,18
"사무실",6706,5259,31,2,95,-,79,1240,7151,5354,33,-,157,-,108,1499,8041,4984,32,3,116,-,54,2852,7873,4947,29,4,184,1,59,2649,8416,5106,19,-,149,-,58,3084,6604,3577,6,-,185,-,69,2767,4040,2580,2,-,180,-,45,1233,5970,3337,6,-,314,-,62,2251,6254,3001,6,-,206,-,54,2704,283,5473,2332,4,-,240,-,61,2825,11,3954,2040,8,-,194,-,43,1663,6,3096,1306,2,-,127,38,1618,5,3576,1391,1,-,185,-,40,1945,14,3241,1116,1,-,169,-,41,1904,10,3330,941,-,1,125,-,19,2237,7,2288,654,3,-,90,-,10,1525,6,2146,575,1,1,75,0,9,1485,0,2245,486,-,-,64,-,16,1669,10,1960,476,-,-,57,-,9,1414,4
"공장",2114,1287,16,-,40,5,10,756,3322,1802,12,-,459,1,80,968,3681,1857,20,-,39,-,9,1756,2820,1463,11,-,47,-,16,1283,3540,1548,3,-,40,-,54,1895,2908,1451,3,-,89,-,8,1357,1849,1129,1,-,66,-,5,648,2274,1179,-,-,83,-,8,1004,2413,1459,-,-,96,-,9,762,87,1717,789,-,-,37,-,5,885,1,1075,509,2,-,34,-,8,520,2,1022,426,-,-,46,14,535,1,1179,414,-,-,37,-,4,719,5,1066,375,-,-,37,-,7,645,2,1261,294,-,-,32,-,5,930,-,970,269,-,-,36,-,-,665,-,1122,304,0,0,25,0,2,789,2,1616,315,-,-,19,-,8,1273,1,1174,211,-,-,27,-,4,929,3
"공사장·광산",2044,471,18,-,286,9,2,1258,2291,612,12,-,260,-,2,1405,3123,702,22,-,251,-,4,2144,3162,625,11,-,256,-,4,2266,4003,936,1,-,208,-,-,2858,3472,804,3,-,251,-,9,2405,2596,693,1,1,267,-,3,1631,4049,1018,1,-,440,-,1,2589,2384,779,-,-,159,-,4,1380,62,1890,575,-,-,165,-,-,1149,1,1400,439,-,-,124,-,3,834,-,1310,289,-,-,107,2,911,1,1800,416,-,-,154,-,2,1227,1,1604,319,-,-,153,-,-,1132,-,1175,223,-,-,99,-,-,853,-,1206,188,-,-,95,-,-,923,-,1207,182,0,0,100,0,0,925,0,1210,174,-,-,57,-,2,975,2,839,137,-,-,44,-,-,658,-
"창고",1155,201,9,-,19,-,4,922,1652,303,5,-,21,-,2,1321,2285,374,7,-,242,-,1,1661,2185,472,8,-,23,-,-,1682,2328,432,5,-,38,-,3,1850,1925,338,-,-,36,-,9,1542,1313,916,-,-,67,-,2,328,2200,1343,-,-,96,-,5,756,1441,884,-,-,62,-,3,448,44,1345,602,-,-,108,-,2,633,-,1166,756,-,-,32,-,4,372,2,883,434,-,-,39,2,408,-,1175,466,-,-,44,-,2,663,-,1321,684,-,-,43,-,2,592,-,1068,448,-,-,46,-,8,566,-,1179,519,-,-,41,-,-,619,-,1010,379,0,0,33,0,0,598,0,971,92,-,-,22,-,3,854,-,1069,123,-,-,75,-,5,860,6
"역·대합실",440,32,99,17,69,-,7,216,457,46,75,12,64,-,5,255,442,31,80,7,58,-,1,265,587,37,62,10,88,-,4,386,877,47,92,11,89,-,4,634,795,10,100,10,114,-,6,555,878,25,64,7,235,-,19,528,1611,21,162,8,329,-,14,1077,974,43,68,4,205,-,9,605,40,1230,13,72,3,284,-,8,827,23,1091,28,56,2,202,1,8,777,17,1034,21,44,4,212,7,707,39,1681,8,38,4,277,-,35,1289,30,1832,17,31,2,296,-,17,1426,43,1557,19,19,4,209,-,5,1280,21,1137,11,16,-,110,-,6,965,29,1213,9,19,0,145,0,7,994,39,1203,8,8,-,102,-,4,1034,47,1134,16,9,6,100,-,4,944,55
"지하철",619,5,360,7,65,-,5,177,506,9,248,8,90,-,-,151,512,11,188,4,102,-,3,204,509,11,165,8,94,-,1,230,737,9,287,4,129,-,1,307,583,2,219,3,134,-,5,220,534,-,165,5,186,1,-,177,753,1,210,3,185,-,2,352,638,1,141,3,121,-,1,335,36,657,-,130,4,156,-,1,359,7,591,-,121,1,85,-,-,372,12,496,1,91,1,78,2,312,11,617,-,85,-,87,-,2,441,2,603,1,92,1,67,-,4,433,5,540,1,74,1,45,-,-,410,9,447,-,56,1,44,-,1,334,11,590,1,58,1,36,0,1,488,5,602,4,38,-,26,-,1,518,15,339,1,28,2,19,-,-,269,20
"기타교통수단내",1079,163,139,2,126,-,3,646,1088,33,195,7,101,-,9,743,1292,276,108,3,106,-,2,797,1803,45,121,4,140,-,2,1491,2243,61,130,2,211,-,7,1832,2348,105,142,8,335,-,9,1749,3582,1284,107,4,624,-,33,1530,5915,1940,210,2,886,-,32,2845,5330,74,77,2,411,-,26,4553,187,2871,60,27,-,259,-,2,2511,12,1757,52,16,-,295,-,10,1376,8,1508,65,29,-,178,3,1219,14,3094,45,22,3,267,-,6,2741,10,2610,34,8,3,307,-,5,2240,13,2444,40,6,-,262,-,7,2120,9,1824,27,4,-,205,-,2,1580,6,1962,25,7,0,176,0,1,1733,20,2483,23,2,1,197,-,7,2230,23,2014,17,4,1,175,-,2,1767,48
"흥행장",1005,348,18,1,96,-,74,468,597,194,11,-,76,-,11,305,525,144,12,1,55,-,18,295,714,182,20,-,95,-,7,410,631,122,13,-,80,-,3,413,622,74,6,-,76,-,4,462,518,54,18,1,104,-,15,326,878,75,20,1,204,-,7,571,3445,248,13,1,491,-,178,2322,192,473,88,9,-,64,-,3,309,-,416,30,2,-,66,-,6,312,-,370,45,3,-,40,2,280,-,670,35,2,-,91,-,1,541,-,760,99,1,1,81,-,6,572,-,486,33,-,-,70,-,2,381,-,364,35,-,-,25,-,1,303,-,426,19,2,0,32,0,1,372,0,538,25,1,-,43,-,5,461,3,432,10,1,-,34,-,2,385,-
"유원지",695,90,37,12,107,2,12,435,852,101,83,14,97,-,6,551,1009,160,58,21,136,-,6,628,1116,115,52,13,159,-,8,769,1532,152,40,7,171,-,10,1152,1030,67,40,16,159,-,5,743,1449,84,39,10,341,-,41,934,2560,90,60,10,610,-,46,1744,1649,49,31,1,302,-,13,1214,39,1462,46,24,4,284,-,6,1098,-,1301,81,30,2,247,-,6,935,-,1186,50,12,1,215,5,903,-,1914,36,22,1,363,-,3,1489,-,2052,47,4,1,315,-,7,1678,-,1585,62,5,1,184,-,6,1327,-,1493,18,3,-,211,-,2,1259,-,1771,51,5,1,156,0,5,1553,0,2043,22,8,2,189,-,4,1817,1,1863,22,3,-,154,-,4,1678,2
"학교",1626,320,14,2,76,-,18,1196,1915,309,16,5,115,-,19,1451,1958,323,17,2,99,-,12,1505,3394,631,24,3,159,-,5,2572,3203,537,25,3,132,-,9,2497,2082,363,14,2,121,-,6,1576,3081,733,12,1,416,-,31,1888,4088,1083,3,-,533,-,22,2447,2118,754,1,1,188,-,6,1093,75,1666,471,1,-,143,-,4,1044,3,1337,455,1,-,123,-,-,758,-,1005,283,1,-,63,1,657,-,1441,326,2,1,110,-,5,997,-,1776,394,-,-,139,-,1,1240,2,852,150,1,-,48,-,1,652,-,1026,181,-,-,36,-,1,808,-,1250,173,0,0,89,0,2,986,0,1444,83,-,-,54,-,3,1304,-,1356,68,-,-,59,-,1,1228,-
"금융기관",2666,187,58,6,391,-,46,1978,3198,156,42,4,468,-,147,2381,3937,303,34,7,392,-,66,3135,4913,181,45,2,515,-,62,4108,5888,180,19,2,469,-,54,5164,5666,118,26,2,553,-,36,4931,4064,66,9,2,821,-,76,3090,6661,101,4,4,1304,-,29,5219,6432,144,10,-,1016,-,55,4736,471,5819,56,-,-,782,-,33,4945,3,4997,53,1,-,574,-,33,4336,-,4276,27,-,1,477,30,3741,-,5080,34,-,1,582,-,21,4442,-,4659,36,2,1,505,-,17,4098,-,3660,18,1,2,373,-,17,3249,-,2881,19,-,-,265,-,10,2587,-,2493,8,1,0,190,0,9,2285,0,2405,14,-,2,143,-,11,2232,3,1893,10,-,-,93,-,8,1782,-
"의료기관",2006,260,19,3,101,-,13,1610,1966,244,22,2,83,-,14,1601,2047,238,19,1,101,-,35,1653,2567,284,13,-,119,-,12,2139,2719,338,26,3,106,-,10,2236,2242,275,61,-,101,-,10,1795,2008,1071,14,1,176,-,10,736,3021,1491,9,1,274,-,22,1224,2079,933,7,1,188,-,12,881,57,1646,680,3,-,145,-,5,813,-,1592,624,4,-,127,-,4,833,-,1300,367,1,-,125,10,797,-,1619,340,6,1,143,-,14,1115,-,1762,327,2,-,169,-,2,1262,-,1362,280,-,2,88,-,4,988,-,1139,146,1,-,73,-,1,918,-,946,88,2,1,48,0,2,805,0,1185,27,-,-,57,-,3,1098,-,981,31,2,-,70,-,1,877,-
"종교기관",1136,734,5,-,57,-,9,331,1373,847,4,-,67,-,18,437,1369,709,3,-,28,-,11,618,2175,421,3,-,59,-,24,1668,2293,670,8,1,43,-,5,1566,1428,375,1,-,60,-,7,985,1049,793,1,1,45,-,10,199,1618,1170,1,2,71,-,4,370,1258,894,2,1,37,-,5,287,32,1151,854,-,-,47,-,1,249,-,1090,828,2,1,28,-,4,227,-,1051,814,1,-,25,-,211,-,988,642,2,-,39,-,4,301,-,1026,632,1,-,46,-,1,346,-,605,366,-,1,23,-,-,215,-,440,245,-,-,7,-,-,188,-,574,348,0,0,39,0,1,186,0,546,68,1,-,16,-,-,461,-,407,50,1,-,9,-,-,343,4
"산야",1149,196,12,-,139,1,9,792,1439,214,12,-,151,-,12,1050,2012,258,22,-,216,-,9,1507,1700,217,9,-,225,-,15,1234,2393,277,5,-,239,-,16,1856,2511,214,3,-,519,-,6,1769,2358,165,1,-,432,-,3,1757,3523,238,-,1,614,-,10,2660,2724,223,-,-,398,-,6,2043,54,2522,145,1,-,421,-,6,1948,1,2339,123,-,1,476,-,4,1734,1,2276,86,-,1,532,2,1655,-,2763,54,-,-,581,-,2,2125,1,3265,173,-,-,608,-,4,2479,1,3536,113,-,-,665,-,5,2753,-,3514,134,-,-,639,-,1,2740,-,3368,157,0,0,595,0,2,2608,6,2761,72,-,-,470,-,-,2215,4,2540,66,-,-,427,-,1,2041,5
"해상",53,19,1,-,-,-,1,32,60,19,6,-,-,-,-,35,57,31,1,-,-,-,1,24,481,16,3,-,1,-,-,461,50,9,1,-,-,-,-,40,74,16,-,-,3,-,-,55,303,18,2,-,42,-,1,240,394,12,1,-,66,-,2,313,54,7,-,-,-,-,1,46,-,116,11,-,-,35,-,-,70,-,84,3,-,-,1,-,1,78,1,92,28,-,-,-,14,49,1,97,28,-,-,-,-,-,69,-,69,14,-,-,-,-,-,54,1,94,26,-,-,-,-,-,68,-,71,7,-,-,-,-,-,64,-,46,7,0,0,0,0,0,39,0,43,6,-,-,-,-,-,37,-,48,2,-,-,-,-,-,11,35
"부대",21,2,2,-,-,1,1,15,20,6,2,-,-,-,-,12,40,4,-,-,1,-,-,35,46,32,-,-,-,-,-,14,81,12,-,-,2,-,-,67,49,9,-,-,3,-,-,37,23,6,-,-,3,-,1,13,18,-,3,-,1,-,-,14,34,10,-,-,-,-,-,24,-,17,5,-,-,1,-,-,11,-,11,2,-,-,1,-,-,8,-,21,5,-,-,2,1,13,-,19,6,-,-,-,-,-,12,1,18,1,-,-,1,-,-,15,1,12,-,-,-,-,-,-,12,-,9,-,-,-,-,-,-,9,-,15,1,0,0,0,0,0,14,0,18,1,-,-,-,-,-,17,-,19,-,-,-,2,-,-,17,-
"구금장소",1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,4,1,-,-,-,-,-,3,4,-,-,-,-,-,-,4,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,4,-,-,-,-,-,1,-,3,1,-,-,-,-,-,-,1,-,6,-,-,-,1,-,-,5,-,7,-,-,-,-,-,5,2,7,-,-,-,-,-,-,5,2,6,-,-,-,-,-,1,2,3,7,1,-,-,1,-,-,3,2,9,1,-,-,-,-,-,2,6,9,0,0,0,0,0,1,3,5,13,-,-,-,-,-,-,3,10,16,-,-,-,-,-,1,6,9
"공지",361,11,4,-,36,2,1,307,395,14,3,-,56,-,1,321,452,23,3,-,37,-,-,389,317,8,1,-,45,-,2,261,366,9,-,1,31,-,1,324,252,1,1,-,44,-,-,206,116,5,-,-,14,-,1,96,168,3,-,-,26,-,-,139,96,2,-,-,7,-,-,83,4,38,-,-,-,3,-,-,35,-,42,1,-,-,5,-,-,35,1,32,2,-,-,13,-,17,-,74,-,-,-,16,-,-,58,-,82,1,-,-,20,-,-,61,-,58,-,-,-,9,-,1,48,-,56,2,-,-,8,-,-,46,-,52,0,0,0,14,0,0,38,0,57,-,-,-,15,-,-,42,-,52,-,-,-,5,-,-,47,-
"기타",32543,6102,479,91,3033,22,573,22243,36676,6461,605,99,2566,1,701,26243,37141,6813,480,114,2378,1,440,26915,43734,7600,498,87,2900,-,699,31950,44332,6923,359,41,2426,-,498,34085,109330,24013,834,604,9531,-,1171,73177,129923,39610,799,753,13711,1,2312,72737,38397,9104,91,24,3866,-,643,24669,97596,21614,427,111,9352,-,815,64249,1028,101881,19067,390,71,10142,-,880,70869,462,77148,7952,312,48,8210,-,660,59562,404,74897,9560,243,26,7509,487,56604,468,31104,2279,51,5,3140,-,178,24916,535,27918,1670,37,7,2598,-,144,22917,545,26984,1576,19,3,2270,-,121,22525,470,24892,1428,10,3,1917,-,88,21151,295,28082,1382,11,1,1509,1,75,24748,355,35737,1537,28,7,1670,-,182,31823,490,51349,2311,23,11,2558,2,181,45713,550
