"죄종별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"특가법(절도)","검거건수[건]","건","1261","1326","1632","1447","192","49","186","298","347","356","356","352",
"특가법(절도)","발생건수 대비 검거건수[%]","%","87.1458189357","94","100.6","86.4","90.6","104.3","96.4","95.2","95.3","96.2","97","96.2",
"특가법(절도)","검거인원[명]","명","1031","727","767","673","121","33","139","216","247","242","226","255",
"특가법(절도)","남자검거인원[명]","명","860","636","656","614","113","29","124","194","236","229","212","238",
"특가법(절도)","여자검거인원[명]","명","161","84","92","51","8","4","15","22","11","11","14","17",
"특가법(절도)","불상검거인원[명]","명","10","7","19","8","","-","-","-","-","2","-","-",
"특가법(절도)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","발생건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","검거건수[건]","건","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","발생건수 대비 검거건수[%]","%","-","","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","남자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","여자검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"특가법(단체등의조직)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"폭력범죄","발생건수[건]","건","72051","70676","65457","65354","65269","64645","59449","56122","54762","48422","41834","46874",
"폭력범죄","검거건수[건]","건","59710","58668","54310","54577","55422","55960","51626","48437","47291","41199","35462","39424",
"폭력범죄","발생건수 대비 검거건수[%]","%","82.8718546585","83","83","83.5","84.9","86.6","86.8","86.3","86.4","85.1","84.8","84.1",
"폭력범죄","검거인원[명]","명","97355","94610","85695","84267","82437","81000","74258","68946","66138","56491","47357","53133",
"폭력범죄","남자검거인원[명]","명","82102","79214","71759","70548","68610","67223","61472","56070","53445","45553","37992","42412",
"폭력범죄","여자검거인원[명]","명","13714","13715","12477","12252","12623","12510","11641","11541","11514","9726","8590","9796",
"폭력범죄","불상검거인원[명]","명","1539","1681","1459","1467","1204","1267","1145","1335","1179","1212","775","925",
"폭력범죄","법인체[개]","개","","6","4","3","3","3","6","12","8","2","1","4",
"상해","발생건수[건]","건","11914","10744","9035","7990","7178","6957","6028","5126","4603","3861","3155","3358",
"상해","검거건수[건]","건","10799","9934","8349","7423","6742","6653","5755","4894","4408","3692","3012","3206",
"상해","발생건수 대비 검거건수[%]","%","90.6412623804","92.5","92.4","92.9","93.9","95.6","95.5","95.5","95.8","95.6","95.5","95.5",
"상해","검거인원[명]","명","16552","15221","12422","10740","9389","9142","7841","6805","5974","4925","3912","4202",
"상해","남자검거인원[명]","명","14230","12876","10609","9038","7861","7753","6658","5677","4992","4090","3246","3546",
"상해","여자검거인원[명]","명","2188","2231","1727","1605","1452","1314","1104","1037","942","797","639","623",
"상해","불상검거인원[명]","명","134","114","86","97","76","75","79","91","40","38","27","33",
"상해","법인체[개]","개","","-","","1","","-","-","1","1","-","-","-",
"상해","발생건수[건]","건","11829","10656","8954","7920","7070","6872","5913","5013","4502","3757","3048","3254",
"상해","검거건수[건]","건","10717","9850","8274","7355","6637","6570","5646","4782","4311","3592","2914","3111",
"상해","발생건수 대비 검거건수[%]","%","90.5993744188","92.4","92.4","92.9","93.9","95.6","95.5","95.4","95.8","95.6","95.6","95.6",
"상해","검거인원[명]","명","16439","15115","12335","10656","9267","9045","7713","6674","5846","4805","3804","4092",
"상해","남자검거인원[명]","명","14137","12787","10543","8969","7764","7672","6543","5573","4892","4003","3159","3454",
"상해","여자검거인원[명]","명","2170","2215","1706","1590","1427","1298","1091","1011","914","765","618","608",
"상해","불상검거인원[명]","명","132","113","86","97","76","75","79","90","40","37","27","30",
"상해","법인체[개]","개","","-","","1","","-","-","-","-","-","-","-",
"상해(중)","발생건수[건]","건","14","13","15","12","14","10","16","9","9","15","12","11",
"상해(중)","검거건수[건]","건","15","13","11","9","14","10","13","9","10","15","10","9",
"상해(중)","발생건수 대비 검거건수[%]","%","107.1428571429","100","73.3","75","100","100","81.2","100","111.1","100","83.3","81.8",
"상해(중)","검거인원[명]","명","29","15","11","14","17","11","12","14","14","18","11","11",
"상해(중)","남자검거인원[명]","명","25","15","10","12","16","11","11","14","10","14","11","11",
"상해(중)","여자검거인원[명]","명","2","-","1","2","1","-","1","-","4","3","-","-",
"상해(중)","불상검거인원[명]","명","2","-","","","","-","-","-","-","1","-","-",
"상해(중)","법인체[개]","개","","-","","","","-","-","1","1","-","-","-",
"상해(상습)","발생건수[건]","건","2","-","","1","","1","8","9","2","1","6","3",
