crime_type_original,region_original,region_position,city,region_match,structure_used,occurrence_count,year,source_file,region_version,district,region_full,duplicate_final_key
공갈,광산,64,광주광역시,True,75지역_군위군포함,51.0,2011,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,59.0,2012,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,40.0,2013,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,57.0,2014,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,61.0,2015,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,32.0,2016,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,40.0,2017,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,41.0,2018,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,43.0,2019,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,40.0,2020,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,27.0,2021,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,37.0,2022,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,54.0,2023,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공갈,광산,64,광주광역시,True,75지역_군위군포함,69.0,2024,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,46.0,2011,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,52.0,2012,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,53.0,2013,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,52.0,2014,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,55.0,2015,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
공무방해,광산,64,광주광역시,True,75지역_군위군포함,54.0,2016,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
