year,region,crime_type,occurrence_count,arrest_count,clearance_rate,source_period,source_file,data_role
1990,범위확인필요,기타형법범,5747.0,5359.0,93.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,낙태에 관한죄,10.0,8.0,80.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,내란의 죄,1.0,,0.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,내수면어업개발촉진법,23.0,23.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,노동쟁의조정법,11.0,8.0,72.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,노동조합법,5.0,5.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,농지보전이용법,7.0,3.0,42.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,뇌물공여죄,25.0,31.0,124.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,뇌물수수죄,20.0,18.0,90.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,담배전매법,329.0,436.0,132.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,대마관리법,61.0,71.0,116.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,대외무역법,17.0,13.0,76.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도로교통법,48484.0,48584.0,100.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도로법,1016.0,862.0,84.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도박개장죄,12.0,16.0,133.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도박죄,574.0,594.0,103.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도시계획법,833.0,766.0,92.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,도주와 도주원조죄,3.0,4.0,133.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,독물 및 극물에 관한 법률,383.0,412.0,107.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,독직가혹행위죄,1.0,1.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,마약법,49.0,54.0,110.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,매장 및 묘지에 관한법,14.0,19.0,135.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,명예에 관한 죄,448.0,390.0,87.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,무고죄,246.0,234.0,95.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,문화재보호법,44.0,22.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,물가안정·공정거래법,19.0,19.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,미성년자보호법,713.0,750.0,105.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,미성년자약취유인죄,55.0,46.0,83.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,민방위기본법,3470.0,2951.0,85.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,밀항단속법,65.0,60.0,92.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,방화,328.0,172.0,52.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,방화등예비음모,13.0,11.0,84.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,배임,662.0,681.0,102.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,배임수재,3.0,5.0,166.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,배임증재,1.0,2.0,200.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,범인은닉·범인도피죄,18.0,18.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,변호사법,97.0,84.0,86.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,병역법,4907.0,4592.0,93.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,병역법위반등의 범죄처벌특조법,877.0,722.0,82.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,보건범죄단속에 관한 특별조치법,130.0,123.0,94.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,보통살인죄,96.0,89.0,92.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,복표발매·중개·취득죄,15.0,14.0,93.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
1990,범위확인필요,복표발행등단속법,53.0,53.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE
