year,region,crime_type_original,occurrence_count,arrest_count,clearance_rate,source_period,source_file,data_role,has_occurrence,has_arrest,has_clearance_rate,calculated_clearance_rate,rate_difference,clearance_over_100,rate_mismatch,quality_flag,real_data_evidence,crime_data_map,time_machine,yolo_evidence,crime_group_standard,csi_core_group,is_aggregate,crime_group_refined,related_groups,is_multi_group,csi_analysis_group,include_detail_analysis
1990,범위확인필요,공연음란죄,7.0,10.0,142.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,142.85714285714286,0.0428571428571444,True,False,CLEARANCE_OVER_100,True,True,True,False,성범죄,True,False,기타,,False,False,True
1990,범위확인필요,공용·일반건조물방화죄,21.0,16.0,76.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,76.19047619047619,0.009523809523813,False,False,OK,True,True,True,False,방화,True,False,방화,방화,False,True,True
1990,범위확인필요,공유수면관리법,5.0,7.0,140.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,140.0,0.0,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,공인위조부정행사죄,24.0,22.0,91.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,91.66666666666666,0.0333333333333456,False,False,OK,True,True,True,False,기타,False,False,위조,위조,False,True,True
1990,범위확인필요,공중위생법,3185.0,3238.0,101.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,101.6640502354788,0.0359497645212059,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,과실치상의죄,890.0,884.0,99.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,99.32584269662922,0.0258426966292262,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,관세법,35.0,38.0,108.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,108.57142857142856,0.0285714285714249,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,광고물등관리법,155.0,143.0,92.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,92.25806451612904,0.041935483870958,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,교통 방해의 죄,10.0,10.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,교통사고처리특례법,55208.0,55927.0,101.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,101.3023474858716,0.0023474858716099,True,False,CLEARANCE_OVER_100,True,True,True,False,교통,False,False,교통,,False,True,True
1990,범위확인필요,교통사범,55208.0,55927.0,101.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,101.3023474858716,0.0023474858716099,True,False,CLEARANCE_OVER_100,True,True,True,False,교통,False,True,기타,,False,False,False
1990,범위확인필요,국가보안법,164.0,164.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,국기에 관한 죄,1.0,3.0,300.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,300.0,0.0,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,국토이용관리법,84.0,79.0,94.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,94.04761904761904,0.047619047619051,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,국회의원 선거법,1.0,7.0,700.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,700.0,0.0,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,권리행사방해죄,339.0,327.0,96.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,96.46017699115043,0.0398230088495665,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,근로기준법,9.0,8.0,88.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,88.88888888888889,0.0111111111111199,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,기타문서에 관한죄,305.0,252.0,82.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,82.62295081967214,0.0229508196721468,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,기타약취유인죄,56.0,72.0,128.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,128.57142857142858,0.0285714285714107,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,기타유가증권우표인지에 관한 죄,8.0,7.0,87.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,87.5,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,기타통화에 관한 죄,10.0,6.0,60.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,60.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,기타특별법,1334.0,1258.0,94.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,94.30284857571212,0.0028485757121359,False,False,OK,True,True,True,False,기타,False,True,기타,,False,False,False
1990,범위확인필요,기타형법범,5747.0,5359.0,93.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,93.24865147033236,0.048651470332345,False,False,OK,True,True,True,False,기타,False,True,기타,,False,False,False
1990,범위확인필요,낙태에 관한죄,10.0,8.0,80.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,80.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,내란의 죄,1.0,,0.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,False,True,,,False,False,MISSING_ARREST,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,내수면어업개발촉진법,23.0,23.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,노동쟁의조정법,11.0,8.0,72.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,72.72727272727273,0.0272727272727308,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,노동조합법,5.0,5.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,농지보전이용법,7.0,3.0,42.9,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,42.85714285714285,0.0428571428571444,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,뇌물공여죄,25.0,31.0,124.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,124.0,0.0,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,공직·부패,,False,True,True
1990,범위확인필요,뇌물수수죄,20.0,18.0,90.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,90.0,0.0,False,False,OK,True,True,True,False,기타,False,False,공직·부패,,False,True,True
1990,범위확인필요,담배전매법,329.0,436.0,132.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,132.52279635258358,0.0227963525835832,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,대마관리법,61.0,71.0,116.4,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,116.3934426229508,0.0065573770491909,True,False,CLEARANCE_OVER_100,True,True,True,False,마약,True,False,마약,마약,False,True,True
1990,범위확인필요,대외무역법,17.0,13.0,76.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,76.47058823529412,0.029411764705884,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,도로교통법,48484.0,48584.0,100.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.20625360943816,0.0062536094381471,True,False,CLEARANCE_OVER_100,True,True,True,False,교통,False,False,교통,,False,True,True
1990,범위확인필요,도로법,1016.0,862.0,84.8,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,84.84251968503938,0.0425196850393803,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,도박개장죄,12.0,16.0,133.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,133.33333333333331,0.033333333333303,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,도박,도박,False,True,True
1990,범위확인필요,도박죄,574.0,594.0,103.5,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,103.48432055749127,0.0156794425087127,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,도박,도박,False,True,True
1990,범위확인필요,도시계획법,833.0,766.0,92.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,91.95678271308525,0.0432172869147677,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,도주와 도주원조죄,3.0,4.0,133.3,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,133.33333333333331,0.033333333333303,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,독물 및 극물에 관한 법률,383.0,412.0,107.6,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,107.57180156657964,0.0281984334203571,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,독직가혹행위죄,1.0,1.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,마약법,49.0,54.0,110.2,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,110.20408163265304,0.0040816326530404,True,False,CLEARANCE_OVER_100,True,True,True,False,마약,True,False,마약,마약,False,True,True
1990,범위확인필요,매장 및 묘지에 관한법,14.0,19.0,135.7,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,135.71428571428572,0.0142857142857337,True,False,CLEARANCE_OVER_100,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,명예에 관한 죄,448.0,390.0,87.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,87.05357142857143,0.0464285714285637,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,무고죄,246.0,234.0,95.1,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,95.1219512195122,0.0219512195122035,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,문화재보호법,44.0,22.0,50.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,50.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
1990,범위확인필요,물가안정·공정거래법,19.0,19.0,100.0,1990-2010,132_TX_132_2009_H1003_20260915164522.csv,TIME_MACHINE,True,True,True,100.0,0.0,False,False,OK,True,True,True,False,기타,False,False,기타,,False,False,True
