evidence_id,year,region,crime_type_original,crime_group_refined,related_groups,occurrence_count,arrest_count,clearance_rate,previous_occurrence,yoy_change_rate,trend_direction,quality_flag,data_warning,evidence_card_text,source_file,display_ready
DATA-000172,2022,범위확인필요,강간(상습),성범죄,성범죄,1.0,1.0,,1.0,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 1건 / 검거 1건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000173,2011,범위확인필요,강간·강제추행,성범죄,성범죄,5268.0,4697.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,"발생 5,268건 / 검거 4,697건",132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000174,2012,범위확인필요,강간·강제추행,성범죄,성범죄,4913.0,4133.0,,5268.0,-6.738800303720577,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,"발생 4,913건 / 검거 4,133건 / 전년 대비 -6.7%",132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000175,1998,범위확인필요,강간등살인,살인,살인|성범죄,1.0,1.0,100.0,,,비교불가,OK,,발생 1건 / 검거 1건 / 공표 검거율 100.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000176,1999,범위확인필요,강간등살인,살인,살인|성범죄,3.0,3.0,100.0,1.0,200.0,증가,OK,,발생 3건 / 검거 3건 / 공표 검거율 100.0% / 전년 대비 +200.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000177,2000,범위확인필요,강간등살인,살인,살인|성범죄,1.0,1.0,100.0,3.0,-66.66666666666666,감소,OK,,발생 1건 / 검거 1건 / 공표 검거율 100.0% / 전년 대비 -66.7%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000178,2005,범위확인필요,강간등살인,살인,살인|성범죄,,1.0,100.0,1.0,,비교불가,MISSING_OCCURRENCE,발생건수 없음,검거 1건 / 공표 검거율 100.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000179,2009,범위확인필요,강간등살인,살인,살인|성범죄,1.0,2.0,200.0,,,비교불가,CLEARANCE_OVER_100,검거율 100% 초과,발생 1건 / 검거 2건 / 공표 검거율 200.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000180,2010,범위확인필요,강간등살인,살인,살인|성범죄,1.0,,0.0,1.0,0.0,유사,MISSING_ARREST,검거건수 없음,발생 1건 / 공표 검거율 0.0% / 전년 대비 +0.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000181,2011,범위확인필요,강간등살인,살인,살인|성범죄,1.0,,,1.0,0.0,유사,MISSING_ARREST|MISSING_CLEARANCE_RATE,검거건수 없음 | 공표 검거율 없음,발생 1건 / 전년 대비 +0.0%,132_DT_13204_2011_N213_20260915163035.csv,True
